text,preprocessed
@beeeemooooo Ini slaah satu penyebabnya juga karna polisi lalu lintss membiarkan sih gw pengendara motor tiap hari berusaha mau tast aturan lalu lintas itu capek banget. Diserobot iya kaget diselip mepet di selip nggunting macet di sruduk2 knalpotnya -cont,slaah satu karna polisi lalu lintss biar sih gw kendara motor tiap hari usaha mau tast atur lalu lintas capek banget serobot iya kaget selip mepet selip nggunting macet sruduk knalpot cont
@txtdrimedia Pov pelaku rasa korban lapor polisi 1. Seorang begal dilawan korbannya : saya dipukul dan motor saya dirusak.. 2. Seorang rampok di pergoki : saya kaget kena hampir kena serangan jantung dan shock berat sikis saya terganggu semoga pemilik rumah dapat diproses.,pov laku rasa korban lapor polisi orang begal lawan korban pukul motor rusak orang rampok pergok kaget kena hampir kena serang jantung shock berat sikis ganggu moga milik rumah proses
@behrouz_mawla hmmm.. ga kaget sih.. jangankan cm kenal di XL.. itu polisi cepek aja sering tuh manggil mas.. pak.. ,hmmm gak kaget sih jangan cm kenal xl polisi cepek sering tuh manggil mas pak
serem bgt byk motor lgsg pda muter balik tp untung mrk di sisi sananya gtu tp mayan deket sm posisi gw gw smpe kaget bgt denger suara2 petasan gtu trs lgsg ada suara polisi ninuninu bener2 feels like in a sinetron dah sumpeh tp jantung gw dr kmrn kaga aman bgt,rem banget byk motor lgsg pda muter balik untung mrk sisi sana gtu mayan deket sama posisi gw gw smpe kaget banget denger suara petas gtu terus lgsg suara polisi ninuninu bener feels like in a sinetron dah sumpeh jantung gw kmrn kaga aman banget
Kaget ternyata banyak banget polisi outfit Alhamdulillah dulu temenku kalo aku salah dikasihtau bukan di-judge macem2 apalagi sampe dikata ga punya manner bjirr Padahal cuma bukber sm temen bukan acara formal loh.. Apakabar gw yg biasa pake hd kemana2 kek gini https://t.co/wUDldydWwi,kaget nyata banyak banget polisi outfit alhamdulillah dulu temenku kalo aku salah dikasihtau bukan judge macem sampe kata gak punya manner bjirr padahal cuma bukber sama temen bukan acara formal loh apakabar gw biasa pake hd mana kek gin
@nihpvt Ya mayan. Deket monas aku nyungsruknya sampe ada polisi segala yg panik mas ojolnyasih sih aku kaya yang kaget jadinya oon kaya haha hoh gitu wkwkwk tapi bisa berdiri sendiri ,mayan deket monas aku nyungsruknya sampe polisi segala panik mas ojolnyasih sih aku kaya kaget jadi oon kaya haha hoh gitu wkwkwk diri sendiri
Lagi jalan sore2 ngabuburit terus tbtb ada polisi suruh minggir semua motor kaget bgt deg2an kirain razia taunya ada yg bagi takjil Terus ternyata dia bukan polisi tapi security,jalan sore ngabuburit terus tbtb polisi suruh minggir semua motor kaget banget degan kirain razia tau takjil terus nyata bukan polisi security
@LokalPendaki Contoh polisi kontol. Kudu dipidana inimah. Tapi ya udah gak kaget sih.,contoh polisi kontol kudu pidana inimah udah gak kaget sih
Kronologi Polisi Ditemukan Tewas di Lampung Penjaga Penginapan Kaget Lihat Kaki Menjuntai https://t.co/6jwshLUvv4,kronologi polisi temu tewas lampung jaga inap kaget lihat kaki juntai
kaget di warmindo ada polisi kirain lagi nertibin yang balapan ternyata mereka ada program sahur bersama apa gitu namanya,kaget warmindo polisi kirain nertibin balap nyata program sahur sama apa gitu nama
@AlnilamOmar jangan kaget aja pakbapak!!..di usut dan selidiki lalu ditindak laporkan ke polisi utk selanjutnya dibawa ke pengadilan dan diadili didepan rakyat Indonesia spy tahu orang yg telah merampok duitnya secara brutal. dihukum seberat²nya.,jangan kaget pakbapak usut selidik lalu tindak lapor polisi lanjut bawa adil adil depan rakyat indonesia spy tahu orang rampok duit cara brutal hukum berat nya
@sidenenen Padahal seru kalau ngebut terus pas polisi tidur jadi lompat kecil. Nanti si obat nya kaget,padahal seru kalau ngebut terus pas polisi tidur jadi lompat kecil si obat nya kaget
Pulang kerja ngikutin kawalan mobil2 polisi... beneran auto ngebut ngikutin dari belakang plus nya klo lwt kuningan selalu byk kawalan mobil. Tp sekalinya diklakson auto kaget bgt ,pulang kerja ngikutin kawal mobil polisi beneran auto ngebut ngikutin belakang plus nya klo lwt kuningan selalu byk kawal mobil sekali klakson auto kaget banget
Kaget euy banyak bgt polisi,kaget euy banyak banget polisi
@kopparslagare_ kalo tiktok mah dah ga kaget. Capek ngasih taunya. Mending nunggu pihak erine oline ae lapor polisi.,kalo tiktok mah dah gak kaget capek ngasih tau mending nunggu pihak erine oline ae lapor polisi
Kaget ih tiba kamar kost diketuk polisi,kaget ih tiba kamar kost ketuk polisi
Kaget enak-enak jaga toko tiba-tiba disamperin orang mantan narapidana ke toko sambil menunjukkan kertas polisi bukti bahwa dia baru bebas dari penjara sambil meminta sumbangan. Saya menolaknya permintaan nya karena membuat dia semakin malas dan tidak mau bekerja.,kaget enak enak jaga toko tiba tiba disamperin orang mantan narapidana toko tunjuk kertas polisi bukti baru bebas penjara minta sumbang tolak minta nya buat makin malas tidak mau kerja
@C0M0NE IYA ANJAY GUE KAGET KIRAIN POLISI PATROLI,iya anjay gue kaget kirain polisi patroli
gua sih ga kaget kalo sampe 10 tahun kedepan ada yg belum tau nomer polisi indo,gua sih gak kaget kalo sampe tahun depan belum tau nomer polisi indo
@andriekaryadi Org org kaget liat kelakuan NM kali ini? Berasa gapernh liat dia gak waras aja. Bolak balik urusan ama polisi ngiklan judol dukung 02. Masa msh heran kalo dia emg agak laen?? ,org org kaget liat laku nm kali asa gapernh liat gak waras bolak balik urus ama polisi ngiklan judol dukung masa msh heran kalo emg laen
but on the other hand reaksi mash beneran bikin gue kaget karena waktu tau lance ini siscon dia mau panggil polisi. and he keeps calling lance ped0 . biasanya kan kalau ada yang begini diglorifikasi..... you did a good job creator! bangga sama creator dan karakter mash https://t.co/qcFlMJDqfd,but on the other hand reaksi mash beneran bikin gue kaget waktu tau lance siscon mau panggil polisi and he keeps calling lance ped biasa kan kalau begini diglorifikasi you did a good job creator bangga sama creator karakter mash
@ARSIPAJA Kaget kok polisi 0. Setelah lihat judul oh jumlah yg ditangkap. Ya masa jeruk makan jeruk Dah lah lihat gitu aja udah gak percaya.,kaget kok polisi lihat judul jumlah tangkap masa jeruk makan jeruk dah lah lihat gitu udah gak percaya
@discregit BENEERRR tp kocak banget liat mukanya dia kaget dia jadi polisi ,beneerrr kocak banget liat muka kaget jadi polisi
@yhnuluul IYA IH CAKEP BANGEEETT aku kaget dia jadi polisi HAHAHAHAHA seru bangetttt ,iya ih cakep bangeeett aku kaget jadi polisi hahahahaha seru bangetttt
Nak Baru ngonser kaget langsung jadi polisi skena,nak baru ngonser kaget langsung jadi polisi skena
@coldclover_ Ih iya aku suka bgt bener2 berasa last ep semua kek udah bahagia gitu. Kaget bgt bapaknya bisa balik lagi jd polisi ,ih iya aku suka banget bener asa last ep semua kek udah bahagia gitu kaget banget bapak balik jd polisi
Kaget yaa liat temen temen ku yang Dulu orangnya gemoy gemulai sekarang jadi polisi. Ada lagi yang cungkring ringkih sekarang jadi tni. Kekk?? Kenapa takdir orang itu bisa se plot twist itu?,kaget yaa liat temen temen ku dulu orang gemoy gemulai sekarang jadi polisi cungkring ringkih sekarang jadi tni kekk takdir orang se plot twist
@pemudagaza Nah bener Ya bro gue udh gak kaget sama kelakuaan polisi di indonesia capek gue lihatnya,nah bener bro gue gak kaget sama kelakuaan polisi indonesia capek gue lihat
ini sama aja kyk gundulin hutan buat bikin perumahan tempat usaha atau kota. trus pas udah jadi tbtb ada dateng hewan buas. nah habis itu pada kaget trus manggil damkar atau polisi buat nangkep hewan buasnya,sama kyk gundulin hutan buat bikin rumah tempat usaha kota terus pas udah jadi tbtb dateng hewan buas nah habis kaget terus manggil damkar polisi buat nangkep hewan buas
kaget bgt pagi-pagi depan rumah tetangga ada polisi mana tiduran ditengah jalan lagi. kemarin belum ada kayanya.,kaget banget pagi pagi depan rumah tetangga polisi mana tidur tengah jalan kemarin belum kaya
Terus kenapa malah kaget dan takut pas si cewenya yang mau bales dendam? Karena tau kalau polisi ga bakal bisa lakuin kah? Dan endingnya... Apa orang yang sama apa orang lain?,terus malah kaget takut pas si cewenya mau bales dendam tau kalau polisi gak bakal lakuin endingnya apa orang sama apa orang
@kegblgnunfaedh Hukum di negara wakanda kan bisa di nego. Kemarin yang polisi aja pembunuhan berencana ujung-ujungnya kan gak dihukum mati. Jadi santai aja gak boleh kaget. ️,hukum negara wakanda kan nego kemarin polisi bunuh rencana ujung ujung kan gak hukum mati jadi santai gak kaget
Ini besok mau ada demo besar besaran apa ya di depan DPR? Kaget banget tadi lewat mau ke kantor polisi pada masang brekade 3 lapis pagar gedung-pagar berduri-pagar tembok beton trus dipasang spanduk tulisan semua orang berpendapat blablabla gitu ,besok mau demo besar besar apa depan dpr kaget banget tadi lewat mau kantor polisi masang brekade lapis pagar gedung pagar dur pagar tembok beton terus pasang spanduk tulis semua orang blablabla gitu
@patheticp0tat0 AWOWKWOAKOWKSKS GUA KAGET PAS DISITU ADA POLISI,awowkwoakowksks gua kaget pas situ polisi
Udah gede main polisi polisian,udah gede main polisi polisi
Aditya Zoni Kaget Tiba-Tiba Dilaporkan ke Polisi Karena Diduga Lakukan Penggelapan Rp 500 Juta https://t.co/oHdVoFqFB4,aditya zoni kaget tiba tiba lapor polisi duga laku gelap rp juta
kaget banget pas balik di depan rumah banyak polisi ternyata tetangga gue yang jualan gas lpg kecolongan anjirrr gas lpgnya dicolong semuanya KIRAIN DI RUMAH GUE ADA APAAN KETAR KETIR https://t.co/YU0KUMgoKC,kaget banget pas balik depan rumah banyak polisi nyata tetangga gue jual gas lpg colong anjirrr gas lpgnya colong semua kirain rumah gue apa ketar tir
@kantong_ajaib13 Di kota Palembang sudah dilarang oleh Polisi karena rawan peredaran narkoba. Biasanya ini di dusun2 di luar Palembang. Agak kaget jg waktu merantau ke Sumsel karena biasanya di Jogja pakai campursari atau dangdutan.,kota palembang larang polisi rawan edar narkoba biasa dusun luar palembang kaget waktu rantau sumsel biasa jogja pakai campursari dangdut
Wah ini.. Inget lab sebelah tiba2 kosong semingguan (jaman pre-COVID). Desas-desusnya ada anak yg ngancem mau bunuh senseinya . Saat itu kaget tapi kok dalam hati aku mengerti perasaan dia #astaghfirullah Keknya sampe urusan polisi ya sekretarisnya enak bgt jd cuti dipikir2.,wah inget lab belah tiba kosong minggu jaman pre covid desas desus anak ngancem mau bunuh senseinya kaget kok hati aku erti asa kek sampe urus polisi sekretaris enak banget jd cuti pikir
@rubjyjane itu kalau nabrak gimana deh? tadi pas nabrak gue langsung tutup aplikasi sangkin kaget dan takutnya kena tangkap polisi,kalau nabrak gimana deh tadi pas nabrak gue langsung tutup aplikasi sangkin kaget takut kena tangkap polisi
@convomfs Udah liat Kaget bgt pas ditendang apalagi bukan ke tembok malah ke pagar zig zag pengen nendang balik tapi udah ditangkap polisi 1 orang,udah liat kaget banget pas tendang bukan tembok malah pagar zig zag ken nendang balik udah tangkap polisi orang
@ffrha__ yang boncengan paling bikin kaget apa ga ada polisi di sana,bonceng paling bikin kaget apa gak polisi sana
styc tuh gak kaget bgt lah kalo mereka gak bareng (walau tetep sedih bgt) karena kek udah dapet hilal(?) sumpah ini polisi makanan tuh paling plot twist karena dari awal haha hihi romcom bgt terus tau2 jederrrr putus AAAAAA GUE SEDIH BGT ,styc tuh gak kaget banget lah kalo gak bareng tetep sedih banget kek udah dapet hilal sumpah polisi makan tuh paling plot twist awal haha hihi romcom banget terus tau jederrrr putus aaaaaa gue sedih banget
@liputan6dotcom Ada yg becandain Pancasila jadi duta Pancasila Ada yg angkuh bentak2 polisi jadi duta narkoba Ada yg langgar lalu lintas jadi duta kepatuhan lalin Ada pelaku pelecehan seksual disuruh kasi edukasi Trus ada yg dipecat habis itu jadi bintang empat lalu anda kaget? Sori yeee,becandain pancasila jadi duta pancasila angkuh bentak polisi jadi duta narkoba langgar lalu lintas jadi duta patuh lalin laku leceh seksual suruh kasi edukasi terus pecat habis jadi bintang empat lalu kaget sori yeee
Ada yg becandain Pancasila jadi duta Pancasila Ada yg angkuh bentak2 polisi jadi duta narkoba Ada yg langgar lalu lintas jadi duta kepatuhan lalin Ada pelaku pelecehan seksual disuruh kasi edukasi Trus ada yg dipecat habis itu jadi bintang empat lalu anda kaget? Sori yeee,becandain pancasila jadi duta pancasila angkuh bentak polisi jadi duta narkoba langgar lalu lintas jadi duta patuh lalin laku leceh seksual suruh kasi edukasi terus pecat habis jadi bintang empat lalu kaget sori yeee
@aozorazureee Kaget dulu sedikit liat twitnya. A fan gallery posting foto artisnya ketangkep polisi ternyata krna ketangkep for a good cause ,kaget dulu sedikit liat twitnya a fan gallery posting foto artis ketangkep polisi nyata krna ketangkep for a good cause
gw harusnya gk kaget sih tp gk manusiawi kalo gw gk kaget kek HALO??? POLISI???,gw gak kaget sih gak manusiawi kalo gw gak kaget kek halo polisi
@kuncirfiony @ZuperBayoo @kelinciloki9 @mmargiella Kelakuan aggotane mr purnomo polisi baik ya begini mas jangan pada kaget,laku aggotane mr purnomo polisi baik begini mas jangan kaget
Gak kaget sama polisi negeri ini Ada yang jadi beking narkoboy penadah mobil curian bekingan tempat prostitusi bekingan judi online. Komplit pokoknya. Sudah gak percaya lagi sama mereka ini ,gak kaget sama polisi negeri jadi beking narkoboy tadah mobil curi beking tempat prostitusi beking judi online komplit pokok gak percaya sama
@Heraloebss Yowes kerjaan polisi ojo kaget,yowes kerja polisi ojo kaget
Damara Prisma Suganda calon siswa SIPSS asal Sukoharjo mengaku kaget mendengar kabar Polri merekrut disabilitas untuk jadi polisi. Ia berharap lolos seleksi. https://t.co/YpxmtAeXnM,damara prisma suganda calon siswa sipss asal sukoharjo aku kaget dengar kabar polri rekrut disabilitas jadi polisi harap lolos seleksi
@Aryprasetyo85 @ListyoSigitP Kalo gua pribadi gak kaget. Kan daftar polisi juga ongkosnya mahal.,kalo gua pribadi gak kaget kan daftar polisi ongkos mahal
@tanyakanrl pernah suka sama orng waktu kelas 8 trus kelas 9 denger dia punya pacar trus SMA ga tau kabar nya trus tiba-tiba waktu ospek jurusan ada orng ny kaget soalnya denger dia mau masuk polisi kenapa ada di kampus yang sama.,pernah suka sama orng waktu kelas terus kelas denger punya pacar terus sma gak tau kabar nya terus tiba tiba waktu ospek jurus orng ny kaget soal denger mau masuk polisi kampus sama
Ini tuh yang dulu bikin kaget tinggal di purwokerto karna tingkat kejahatannya minim banget gak pernah ada polisi nilang juga tapi ya kalo di jalan raya pake helm Berita begal tuh jarang banget di pwt tapi sekalinya ada kayak rame banget Beda kalo di lampung kayak udah biasa,tuh dulu bikin kaget tinggal purwokerto karna tingkat jahat minim banget gak pernah polisi nilang kalo jalan raya pake helm berita begal tuh jarang banget pwt sekali kayak rame banget beda kalo lampung kayak udah biasa
@_notyourfavvv_ Iyalah anyink nir gua aja kaget bgt liatnya sampe terjatuh gt yaallah. Jgn dikasih ampun nir cowok kek gt mah mending lgsg ulti aja bawa ke polisi sama putusin gausah berhubungan sm cowok toxic! Semoga ceweknya ga bucin,iya anyink nir gua kaget banget liat sampe jatuh gt yaallah jgn kasih ampun nir cowok kek gt mah mending lgsg ulti bawa polisi sama putusin gausah hubung sama cowok toxic moga cewek gak bucin
I mean... Again ga kaget kalo polisi ngeluarin kartu izin berkerumun wkwkwkwkwkkwkwkwkwkw https://t.co/hxCvwdLiVm,i mean again gak kaget kalo polisi ngeluarin kartu izin kerumun wkwkwkwkwkkwkwkwkwkw
Dulu pertama kali jadi aktivis ketika kuliah pertama kali ikut demonstrasi kaget kenapa perempuan-perempuan yang ditaruh dibarisan depan berhadap-hadapan dengan pol PP dan sabhara polisi ketika kelompok yang aksi dari elemen mahasiswa tersebut. Ternyata bukan cuma diakar rumput,dulu pertama kali jadi aktivis kuliah pertama kali ikut demonstrasi kaget perempuan perempuan taruh baris depan hadap hadap pol pp sabhara polisi kelompok aksi elemen mahasiswa sebut nyata bukan cuma akar rumput
@kekocakandunia Punya temen bokapnya petinggi polisi kaget waktu tau dekat rumah w seminggu sekali ada bazzar/pasar kaget yang nutup jalan dan (sebelum pandemi) sebulan sekali ada dangdutan Hah! Itu di Jakarta? ,punya temen bokapnya petinggi polisi kaget waktu tau dekat rumah w minggu sekali bazzar pasar kaget nutup jalan belum pandemi bulan sekali dangdut hah jakarta
yg no 5 tuh bnrn dah gk ada yg tau klo abang itu big boss mafia dikota gw and bnrn dah kemana2 slalu dianter2 ama dy bnrn dijagain kyk keadek....eh tau2 abis ospek smp dy bikin geger ketangkep polisi gimana kagak kaget org2 satu kampung ,no tuh bnrn dah gak tau klo abang big boss mafia kota gw and bnrn dah mana slalu anter ama dy bnrn dijagain kyk keadek eh tau abis ospek smp dy bikin geger ketangkep polisi gimana kagak kaget org satu kampung
Yg biasa kita lewati. Ku bilang ke pak pol :anak sy mau ty2 boleh pak? Si bocah kaget ga sangka tb2 ke kantor polisi. Akhrnya aku yg ty : pak kl minta2 jajan ke temen itu bagus ga? Akhrnya diskusi di kantor polisi td jd obrolan hangat bsk2nya bocil ga minta2 jajan temena lg,biasa lewat ku bilang pak pol anak mau ty pak si bocah kaget gak sangka tb kantor polisi akhrnya aku ty pak kl minta jajan temen bagus gak akhrnya diskusi kantor polisi td jd obrol hangat bsknya bocil gak minta jajan temena
@XukaiAlbum Wkwk.. Berapa hari ya dia ngumpulin keberanian buat dtg sendiri ke kantor polisi. Trus polisinya kaget gk tuh yg lapor artisnya sendiri gk pake surat kuasa. ,wkwk berapa hari ngumpulin berani buat dtg sendiri kantor polisi terus polisi kaget gak tuh lapor artis sendiri gak pake surat kuasa
@lovdynomite Aku nangkepnya dia udah balik ke korsel (abis ditanyain sama polisi filipina kenapa repot² bikin paspor palsu + menyelundup padahal ga punya catetan kriminal. Makanya dia kaget kok bisa tetep ga punya catetan kriminal) Abis itu langsung bunuh orang lagi. Makanya muncul di berita,aku nangkepnya udah balik korsel abis ditanyain sama polisi filipina repot bikin paspor palsu selundup padahal gak punya catetan kriminal makanya kaget kok tetep gak punya catetan kriminal abis langsung bunuh orang makanya muncul berita
@daiwies @moviemenfes Iya kaget bgt sih apalagi pas di kantor polisi langsung auto Haaaah kok jadi gini ,iya kaget banget sih pas kantor polisi langsung auto haaaah kok jadi gin
@navyonyou Itu di sebelah kanan gue Kementerian ESDM Nav. Polisi pelontar gas air mata masuk lewat situ. Apa enggak kaget coba ditembak secara tiba-tiba gitu dari dalem. ‍,belah kanan gue menteri esdm nav polisi lontar gas air mata masuk lewat situ apa enggak kaget coba tembak cara tiba tiba gitu dalem
Polisi naik kuda depan margo.... Mau kaget tp ini DEPOK,polisi naik kuda depan margo mau kaget depok
asli sih pas baru masuk ni fandom GUE KAGET AMPE DI KEJAR2 POLISI FANDOM ANJEENGG WKWKK ampe ada threadnya busettt ngakak,asli sih pas baru masuk ni fandom gue kaget ampe kejar polisi fandom anjeengg wkwkk ampe threadnya busettt ngakak
@Teguh_toen @Varsha_lvm @mikemayvitaa @folkshittmedia Kalau kejadian di tengah / atas flyover berarti polisinya berada di bawah ujung fly over (nyampe atas nengok ke bawah ada polisi terus kaget). Kalau polisi di tengah flyover korban tidak akan naik flyover (jawa: marani molo). Bayangkan bentuk flyover kayak apa.,kalau jadi tengah atas flyover arti polisi bawah ujung fly over nyampe atas nengok bawah polisi terus kaget kalau polisi tengah flyover korban tidak naik flyover jawa marani molo bayang bentuk flyover kayak apa
@senapsenundoy2 Enggak sama sekali perihal biaya pussy show. Yang dibilang cuma ada trmpat bagus buat minum. Kan awalnya gak tau kalo show itu berapa harganya. Pas dikasih bill kaget dong. Anjir cuma 10 menit di sana kena charge 6jt. Ya kali anjiiir pake ngancem ke polisi.,enggak sama sekali perihal biaya pussy show bilang cuma trmpat bagus buat minum kan awal gak tau kalo show berapa harga pas kasih bill kaget dong anjir cuma menit sana kena charge jt kali anjiiir pake ngancem polisi
@q_etcetera HAH? kaget apalagi yang boon black soalnya ketipu sama job di trailernya jadi polisi: ),hah kaget boon black soal tipu sama job trailer jadi polisi
@lilst0pid @kdrama_menfess sebenernya iya ketauan alasannya btw polisi yg dimaksud si songchon bukan? tp kurang greget aja kek kurang UGHHH jd b aja. cm lumayan kaget di background keluarga nangam,sebenernya iya tau alas ngomong-ngomong polisi maksud si songchon bukan kurang greget kek kurang ughhh jd b cm lumayan kaget background keluarga nangam
@convomf Njir kaget https://t.co/IybqpgHJTd,njir kaget
Disaat polisi itu sedang sibuk dengan isi pikiranya sendiri Aku segera bergegas pergi menjauh dari pandangan si polisi.Sedangkan teman si polisi yang dari tadi ada di dalam mobil terlihat keluar.Ia pun kaget dengan keadaan teman nya yang tiba-tiba mematung tak bisa bergerak,polisi sedang sibuk isi pikiranya sendiri aku segera gegas pergi jauh pandang si polisi sedang teman si polisi tadi mobil lihat keluar kaget teman nya tiba tiba patung tak gerak
@aqfiazfan Lebih kaget kalo capresnya minta pulsa bang atau nangis2 minta ditebus dari kantor polisi,lebih kaget kalo capresnya minta pulsa bang nang minta tebus kantor polisi
Jangan kaget kalo prabowo terpilih kalian ditangkep kalo kritik. Misal: Makan siang gratis lauknya tempe mulu tiap hari 1 jam kemudian diciduk polisi.,jangan kaget kalo prabowo pilih kalian ditangkep kalo kritik misal makan siang gratis lauk tempe mulu tiap hari jam kemudian ciduk polisi
lu kaget gak malem malem di chat polisi,lu kaget gak malem malem chat polisi
salut sama ini perusahaan. di flyingcamp aing cuma ber4 ibu dapur yg biasanya masak gaada keamanan tni atau polisi gaada tapi disuruh mapping 5km dr camp dan data harus ke cover semua minggu ini. udh ga kaget dan ga heran tapi ya makin kesini kok makin rada2 plannya,salut sama usaha flyingcamp aing cuma ber ibu dapur biasa masak gaada aman tni polisi gaada suruh mapping km camp data cover semua minggu gak kaget gak heran makin kesini kok makin rada plan
@KompasTV Kalau engga kita baru kaget..sy sih uda ga percaya sama polisi tni presiden aja saya ga percaya.,kalau engga baru kaget sih uda gak percaya sama polisi tni presiden gak percaya
@kompascom Polisi pasti kaget kalau rakyat percaya,polisi kaget kalau rakyat percaya
anjir gue kira garis polisi kaget,anjir gue kira garis polisi kaget
Astaghfirullah.. beneran kaget pas Mike nyerang polisi ,astaghfirullah beneran kaget pas mike nyerang polisi
woyy kaget banget mas crush aku dulu sekarang dah jadii polisi,woyy kaget banget mas crush aku dulu sekarang dah jadi polisi
