text,emotion,preprocessed_result
kami sebagai masyarakat kecewa sama kepolisian,sadness,masyarakat kecewa polisi
terus terang kami kecewa terhadap polisi,sadness,terang kecewa polisi
saya sedih marah dan kecewa kepada siapa lagi rakyat mengadu pak,sadness,sedih marah kecewa rakyat
tolong dong pak dibuktikan kalau hoax dengan bukti-bukti yang valid biar rakyat bisa percaya,trust,tolong bukti hoax bukti valid biar rakyat percaya
polisi membatalkan konser untuk ahmad dhani membuat ribuan peserta kecewa,sadness,polisi batal konser ribuan peserta kecewa
semoga citra kalian semakin buruk!,anger,semoga citra makin buruk
kecewa saya sama penguasa dan polisi,sadness,kecewa kuasa polisi
saya berharap lebih di kasus ini jadi kecewa sama polisi,sadness,harap kecewa polisi
demi allah saya sedih kecewa dan marah pada polisi,sadness,sedih kecewa marah polisi
jangan buat kami kecewa dan sakit hati pada kamu pak polisi,sadness,jangan buat kecewa sakit hati polisi
aku kecewa banget sikap polisi,sadness,kecewa banget sikap polisi
kecewa dengan polisi karena intel cuma datang bilang sabar,sadness,kecewa polisi intel bilang sabar
siti rusmini kecewa karena laporan kekerasan dalam rumah tangga mengendap di kantor polisi,sadness,kecewa lapor keras rumah tangga endap kantor polisi
segel mobil box pengiriman surat suara rusak bawaslu kecewa polisi tidak mengkawal pengiriman suaranya,sadness,segel mobil box kirim surat suara rusak bawaslu kecewa polisi tidak kawal kirim suara
pengalaman baru lagi mengurus tilang sejauh ini masih sangat kecewa dengan polisi,sadness,pengalaman urus tilang sangat kecewa polisi
Kenapa polisi selalu membuat rakyat kecewa,sadness,polisi rakyat kecewa
ibu korban kecewa polisi hentikan kasus dugaan pencabulan anak,sadness,korban kecewa polisi henti duga cabul anak
kecewa dengan penanganan polisi yang dinilai,sadness,kecewa penanganan polisi
kecewa polisi hentikan kasus kepala sekolah cabul,sadness,kecewa polisi henti kasus kepala sekolah cabul
panitia kecewa karena polisi menghadang peserta luar kota yang akan bergabung,sadness,panitia kecewa polisi hadang peserta luar kota gabung
saya kecewa sekali kost saya kemalingan lapor ke kantor polisi tapi tidak ada yang mengangkat,sadness,kecewa kost dimaling lapor kantor polisi tapi tidak angkat
penampilannya dihentikan polisi sheila on7 kecewa terhadap toleransi aparat,sadness,tampil henti polisi sheila on7 kecewa toleransi aparat
kecewa aja liat polisi tidak ada tegasnya,sadness,kecewa liat polisi tidak tegas
sebenarnya cukup kecewa dengan keadaan jalan karena tidak ada polisi,sadness,kecewa keadaan jalan tidak ada polisi
kecewa dengan kinerja polisi,sadness,kecewa kinerja polisi
kecewa polisi malas mengungkap kejahatan,sadness,kecewa polisi malas ungkap jahat
sedih polisi tangguhkan pelaku pengeroyokan tempat hiburan malam,sadness,sedih polisi tangguh pelaku keroyok
orator aksi kecewa dihalau polisi,sadness,orator aksi kecewa halau polisi
jangan terlalu berharap banyak dari polisi ujungnya kecewa,sadness,jangan harap banyak polisi ujung kecewa
tak berharap banyak dari polisi nanti kecewa,sadness,harap polisi kecewa
keluarga tabrak lari kecewa laporan ke polisi tidak direspon,sadness,keluarga tabrak lari kecewa lapor polisi tidak direspon
kecewa banget sama polisi ,sadness,kecewa banget polisi
saya kecewa polisi menetapkan tersangka yang salah,sadness,kecewa polisi tetapkan tersangka salah
saya termasuk orang yang kecewa dengan polisi,sadness,orang kecewa polisi
melihat sikap polisi beberapa waktu ini jadi kecewa,sadness,sikap polisi kecewa
saya kecewa dan marah karena Polisi tidak melanjutkan kasus tersebut,anger,kecewa marah polisi tidak lanjut
pasti pak polisi bisa membantu bapak,trust,polisi bisa bantu
yang lebih buat saya kecewa adalah tindakan polisi,sadness,kecewa tindakan polisi
kecewa dengan pihak polisi kenapa jadi serumit ini,sadness,kecewa polisi rumit
kecewa polisi belum tangkap pelaku,sadness,kecewa polisi belum tangkap pelaku
Pelaku Penyerangan Tak Kunjung Ditangkap rakyat Kecewa sama Polisi,sadness,pelaku serang tidak kunjung tangkap rakyat kecewa polisi
Ketiga korban persekusi mengaku kecewa dengan Kepala Pos Polisi,sadness,tiga korban persekusi kecewa kepala polisi
polisi jujur adil dan tegas,trust,polisi jujur adil tegas
Ini sungguh tidak adil brengsek kalian polisi,anger,sungguh tidak adil brengsek polisi
Yang jujur dan adil ya pak Polisi semoga amanah dan sukses,trust,jujur adil polisi semoga amanah sukses
perlu aparat kepolisian demi menjaga keamanan kedamaian,trust,perlu aparat polisi jaga aman damai
keren sekali pak polisi menjaga pemilu aman damai jujur dan adil,joy,keren polisi jaga pemilu aman damai jujur adil
Polisi harus segera usut dan proses dengan adil,trust,polisi usut proses adil
Polisi ini memang biang masalah,anger,polisi biang masalah
Jadilah polisi yang amanah jujur adil,trust,polisi amanah jujur adil
dari dulu polisi itu menakutkan,fear,polisi takut
Saya yakin Polisi sebagai pengayom masyarakat akan dapat benar-benar menjadi kebanggaan rakyat Indonesia,trust,polisi ayom masyarakat bangga rakyat indonesia
Dan penegak hukum sangat adil polisi semua jujur,trust,tegak hukum adil polisi jujur
Polisi kita jujur membela rakyat kecil,trust,polisi jujur bela rakyat
saya yakin Polisi Kita bersih dari uang haram ,trust,polisi bersih uang haram
polisi kita bersih jujur dan adil,trust,polisi bersih jujur adil
Dimana adanya polisi yang jujur,netral,mana polisi jujur
tetap jadilah polisi yang jujur baik bijaksana dan adil dalam bertugas,trust,polisi jujur bijaksana adil tugas
Ikut senang cuma karena melihat kejujuran masih ada nilainya ternyata,joy,senang jujur nilai
Dan ternyata polisi jujur masih dan mau tulus minta maaf ada juga,trust,polisi jujur tulus maaf
Polisi buktikan institusi polisi menegak kan adil jujur tanpa ada intimidasi dari pihak mana pun.,trust,polisi bukti institusi polisi tegak adil jujur tanpa intimidasi
semakin tidak percaya dengan kinerja polisi sungguh tidak adil,sadness,tidak percaya kinerja polisi sungguh tidak adil
Teruntuk polisi-polisi yang jujur adil dan bekerja semaksimal mungkin saya ucapkan banyak terimakasih,trust,untuk polisi jujur adil maksimal ucap terimakasih
Sungguh polri mengecewakan rakyat,sadness,sungguh polri kecewa rakyat
Masih banyak polisi kita yang sangat jujur dan adil sopan ramah,trust,polisi jujur adil sopan ramah
saya dan mungkin jutaan orang mulai percaya pada polisi,trust,juta orang percaya polisi
Polisi memang semestinya berani baik jujur dan berlaku adil,trust,polisi mesti berani jujur laku adil
kita rakyat pasti mendukung polisi yang jujur adil dan berani demi kebenaran,trust,rakyat dukung polisi jujur adil berani benar
Hukum indonesia butuh polisi yang jujur dan adil,trust,hukum indonesia butuh polisi jujur adil
Saya dukung selama kerja polisi jujur dan adil serta manusiawi,trust,dukung kerja polisi jujur adil manusiawi
Terima kasih karena Polri telah menjadi lembaga yang menjaga dan mewujudkan pemilu yang jujur dan adil,trust,terima kasih polri lembaga jaga wujud milu jujur adil
Polisi Indonesia itu tegas jujur dan adil,trust,polisi indonesia jujur adil
Terima kasih pak polisi sudah selalu jujur dan adil,trust,terima kasih polisi jujur adil
Susah sekarang cari polisi yang jujur dan adil,sadness,susah cari polisi jujur adil
permasalahan bangsa ini adalah Penegak Hukum atau Polisi saat ini TIDAK DIPERCAYA oleh Rakyat,sadness,masalah bangsa tegak hukum polisi tidak percaya rakyat
Prihatin polisi yang jujur dan adil sudah sangat minim sekarang,sadness,prihatin polisi jujur adil minim
tambahkan kinerja polisi jadilah polisi yang jujur adil melindungi rakyat,trust,tambah kinerja polisi polisi jujur adil lindung rakyat
polisi harus bersikap adil dan benar dan yang penting jujur untuk kasus ini,trust,polisi sikap adil jujur
Polisi zaman sakarang sudah JUJUR dan ADIL,trust,polisi zaman sakarang jujur adil
Masyarakat Indonesia semua senang ada polisi yang jujur dan adil,joy,masyarakat indonesia senang polisi jujur adil
senang sekali Polri gelar Bakti sosial untuk ringankan beban masyarakat,joy,senang polri gelar bakti sosial ringan beban masyarakat
Sepertinya sekarang polisi sudah jadi alat kekuasaan bukan lagi sebagai penegak hukum yang amanah jujur dan adil buat semua,sadness,polisi alat kuasa bukan tegak hukum amanah jujur adil
sebegitu saya mengagumi polisi tapi anda sebagai polisi tidak bekerja secara jujur dan adil tolong selesaikan sesuai hukum!,sadness,kagum polisi polisi tidak jujur adil tolong selesai suai hukum
Polri Bertindaklah jujur dan adil jangan sampai hukum dijadikan alat kekuasaan dan menindas mereka yang lemah,trust,polri tindak jujur adil jangan hukum jadi alat kuasa tindas lemah
menjadi Polisi yg baik jujur serta bisa berlaku Adil,trust,polisi yang jujur laku adil
polisi menjalin silaturahmi dengan masyarakat sekaligus mendengarkan keluh kesah dan aspirasi masyarakat,trust,polisi jalin silaturahmi masyarakat dengar keluh kesah aspirasi masyarakat
bekerja sebagai polisi punya integritas dan kinerja yang sangat baik dan bisa diandalkan.,trust,polisi integritas kinerja andal
sedih sekali polisi berulah menerima sogokan dari perusahaan,sadness,sedih polisi ulah terima sogok usaha
maka dari itu kinerja polisi sudah semakin baik,trust,kinerja polisi
Masyarakat Puas Atas Kinerja Polri Amankan Pemilu,joy,masyarakat puas kinerja polri aman milu
Masih percaya sama kinerja Polisi,trust,percaya kinerja polisi
Berhenti berharap dengan kinerja polisi lebih baik masyarakat yang bergerak,sadness,henti harap kinerja polisi masyarakat gerak
saya benci kinerja polisi soal pencurian motor atau mobil,anger,benci kinerja polisi curi motor mobil
yang terpenting semakin meningkatkan kinerja polisi,trust,penting tingkat kinerja polisi
lihat pak kinerja polisi hancur,sadness,lihat kinerja polisi hancur
apresiasi yang mendalam terhadap dedikasi dan kinerja yang luar biasa dari Polisi,joy,apresiasi dalam dedikasi kinerja polisi
saya selalu sakit hati kalo mengingat kinerja polisi di negara sendiri,sadness,sakit hati kalau kinerja polisi negara
Hebat kinerja polisi dalam menangkap pelaku kriminal,joy,hebat kinerja polisi tangkap laku kriminal
senang sekali dengan kinerja polisi yang mampu menangkap pengedar,joy,senang kinerja polisi tangkap edar
salut dan bangga selalu dengan kinerja pak polisi Bersama Berantas Kriminalitas,joy,salut bangga kinerja polisi berantas kriminalitas
Patut diapresiasi atas kinerja polisi yang bergerak cepat menangkap pengedar narkoba,joy,patut apresiasi kinerja polisi gerak cepat tangkap edar narkoba
salut sama kinerja bapak polisi yang selalu tanggap menyelesaikan berbagai masalah,joy,salut kinerja polisi tanggap selesai masalah
apresiasi untuk polisi yang sudah berjasa dengan membongkar kasus narkoba,joy,apresiasi polisi jasa bongkar menarkoba
Ayo Pak Polisi berantas habis para pelaku narkoba,trust,ayo polisi berantas habis laku menarkoba
Kami bangga sekali dengan kinerja polisi,joy,bangga kinerja polisi
Saya semakin yakin kinerja polri akan lebih baik polisi,trust,kinerja polri polisi
kecewa kinerja polisi buruk,sadness,kecewa kinerja polisi buruk
senang dengan kejujuran dan integritas yang kuat dalam tubuh Kepolisian.,joy,senang jujur integritas kuat tubuh polisi
jadi merasa aman karena Polisi ada dalam menjaga Keamanan dan Kenyamanan masyarakat,trust,aman polisi jaga aman nyaman masyarakat
 polisi Kinerja kayak tai,anger,polisi kinerja kayak tai
kinerja polisi di masa depan makin bagus,trust,kinerja polisi bagus
senang rasanya polisi mendengarkan keluh kesah masyarakat dan mengayomi masyarakat,joy,senang polisi dengar keluh kesah masyarakat ayom masyarakat
mantul sekali kinerja polisi,joy,pantul kinerja polisi
Publik Puas Atas Kinerja Polisi,joy,publik puas kinerja polisi
Terima kasih pak polisi,joy,terima kasih polisi
Alhamdulillah terima kasih pak polisi,joy,alhamdulillah terima kasih polisi
pak polisi terima kasih,joy,polisi terima kasih
Terima kasih pak kapolresta atas kepedulian terhadap Fasilitas Publik,joy,terima kasih kapolresta peduli fasilitas publik
Polisi peduli kebersihan keindahan Kota Terima kasih Pak,joy,polisi peduli bersih indah kota terima kasih
Terima kasih Polisi yang peduli kebersihan keindahan Kota,joy,terima kasih polisi peduli bersih indah kota
terima kasih pak polisi udah bersiap siaga mengamankan arus mudik balik semoga diberikan kesehatan dan kelancaran dalam bertugas,joy,terima kasih polisi udah siaga aman arus mudik moga sehat lancar tugas
Mantep betul polisi mempersiapkan dengan matang untuk lebaran tahun,joy,mantap polisi matang lebaran
Terima kasih pak Polisi saya pulang mudik sudah tidak macet lagi lancar sekali perjalanan saya,joy,terima kasih polisi pulang mudik tidak macet lancar jalan
saya pulang mudik sudah tidak macet lagi lancar sekali perjalanan saya terima kasih pak polisi,joy,pulang mudik tidak macet lancar jalan terima kasih polisi
alhamdulillah di mudik tahun sekarang sudah banyak kemajuan terima kasih pak polisi,joy,alhamdulillah mudik maju terima kasih polisi
mantap deh pokoknya pak polisi,joy,mantap pokok polisi
Terima kasih pak polisi semoga anda selalu diberi kesehatan dan dilancarkan rejekinya,joy,terima kasih polisi moga sehat lancar rejeki
Terima kasih pak Polisi mudik lancar dan aman tanpa macet seperti tahun sebelumnya ditangani dengan baik dan luar biasa,joy,terima kasih polisi mudik lancar aman tanpa macet tangan
Terima kasih Pak Polisi sudah memberikan pelayanan terbaik kepada masyarakat,joy,terima kasih polisi layan baik masyarakat
Memang mantap penanganan mudik dari polisi,joy,mantap tangan mudik polisi
terima kasih pak polisi sehat selalu dalam melaksanakan tugasnya.,joy,terima kasih polisi sehat laksana tugas
terima kasih pak polisi atas kinerjanya,joy,terima kasih polisi kinerja
kami masyarakat terima kasih atas pelayanannya pak polisi,joy,masyarakat terima kasih layan polisi
Terima kasih pak Polisi senang sekali mudik bisa lancar dan aman tanpa macet,joy,terima kasih polisi senang mudik lancar aman tanpa macet
Alhamdulillah mudik dijaga pak polisi terima kasih pak atas dedikasinya,joy,alhamdulillah mudik jaga polisi terima kasih dedikasi
Jangan Pernah Berhenti Berbuat Baik kepada Sesama Pak polisi,trust,jangan henti buat polisi
kami mengucapkan terima kasih kepada seluruh jajaran Polri di seluruh Indonesia,joy,terima kasih jajar polri indonesia
Terima kasih pak polisi telah memberikan rasa aman dan nyaman disetiap perjalanan kami.,joy,terima kasih polisi aman nyaman tiap jalan
Terima kasih pak Polisi mudik tahun ini gak kena macet dan lacar banget pokoknya tetap semangat deh buat pak Polisi dalam bertugas.,joy,terima kasih polisi mudik tidak kena macet lacar banget pokok semangat polisi tugas
Mantap Mudik balik lebaran kami sekeluarga aman dan lancar,joy,mantap mudik lebaran keluarga aman lancar
terima kasih pak dan bu polisi yang bertugas,joy,terima kasih bu polisi tugas
hebat pak polisi Arus mudik balik lebaran aman dan nyaman Terima kasih polri,joy,hebat polisi arus mudik lebaran aman nyaman terima kasih polri
Terima kasih pak polisi yang ngatur jalan,joy,terima kasih polisi atur jalan
Terima kasih sudah menjaga keamanan dan kenyamanan,joy,terima kasih jaga aman nyaman
Terima kasih bapak polisi semua sehat terus pak,joy,terima kasih polisi sehat
terima kasih bapak polisi telah siap sedia selalu untuk mengamankan semuanya dengan baik,joy,terima kasih polisi sedia aman
Terima kasih pak polisi yang selalu memberikan pelayanan terbaik kepada kami,joy,terima kasih polisi layan baik
Terima Kasih Pak Polisi mudik jadi tenang aman terkendali,joy,terima kasih polisi mudik tenang aman kendali
Terima kasih Pak polisi telah mengamankan Mudik kami,joy,terima kasih polisi aman mudik
terima kasih Polisi Indonesia dedikasimu melindungi masyarakat patut diacungi jempol,joy,terima kasih polisi indonesia dedikasi lindung masyarakat patut acung jempol
Terima kasih polisi wanita,joy,terima kasih polisi wanita
Terima Kasih Untuk Dukungannya Pak Polisi,joy,terima kasih dukung polisi
Terima kasih bu polisi,joy,terima kasih bu polisi
Terima kasih para polwan,joy,terima kasih polwan
Terima kasih polwan,joy,terima kasih polw
Polisi begini cepat tanggap dan peka Terima kasih pak polisi kalian sudah bekerja keras,joy,polisi cepat tanggap peka terima kasih polisi keras
Polisi begini nih cepat tanggap dan peka,joy,polisi ini cepat tanggap peka
Terima kasih pak polisi kalian sudah bekerja keras,joy,terima kasih polisi keras
Disaat kami terancam kalian ada untuk melindungi kita Terima kasih pak polisi dan pak TNI Semangat terus,joy,saat ancam lindung terima kasih polisi tni semangat
Terima kasih pak polisi sudah mewakili kami semua,joy,terima kasih polisi wakil
Terima Kasih pak polisi terbaik,joy,terima kasih polisi baik
Semoga kepolisian makin profesional dalam tugasnya.,netral,moga polisi profesional tugas
"Tugas polisi memang berat, semoga bisa lebih baik ke depannya.",netral,tugas polisi berat moga depan
"Keamanan itu penting, semoga polisi bisa tetap sigap!",netral,aman moga polisi sigap
"Polisi punya peran besar di masyarakat, semoga makin transparan!",netral,polisi peran masyarakat moga transparan
"Setiap tugas pasti ada tantangannya, semoga polisi makin kompeten!",netral,tugas tantang moga polisi kompeten
Semoga semua laporan masyarakat ditindaklanjuti dengan cepat.,netral,moga lapor masyarakat ditindaklanjuti cepat
Polisi harus bisa menjaga ketertiban dengan adil.,netral,polisi jaga tertib adil
"Setiap kasus pasti ada prosesnya, semoga ditangani dengan baik.",netral,proses moga tangan
Kinerja kepolisian perlu dievaluasi secara berkala biar makin optimal!,netral,kinerja polisi evaluasi kala biar optimal
"Gimana pun juga, keamanan masyarakat ada di tangan polisi.",netral,gimana aman masyarakat tangan polisi
Semoga makin banyak polisi yang benar-benar menjalankan tugasnya dengan baik!,netral,moga polisi jalan tugas
Masyarakat butuh kepolisian yang responsif dan tegas.,netral,masyarakat butuh polisi responsif
Polisi perlu beradaptasi dengan perkembangan zaman biar makin efektif.,netral,polisi adaptasi kembang zaman biar efektif
"Menjaga keamanan bukan hal mudah, semangat buat kepolisian!",netral,jaga aman bukan mudah semangat polisi
Pelayanan kepolisian harus lebih cepat dan transparan!,netral,layan polisi cepat transparan
Keamanan yang baik butuh kerja sama polisi dan masyarakat.,netral,aman butuh kerja polisi masyarakat
Polisi harus jadi contoh dalam menaati hukum.,netral,polisi contoh taat hukum
Setiap kasus yang ditangani polisi harus jelas dan transparan.,netral,tangan polisi transparan
Semoga polisi bisa makin dekat dengan masyarakat!,netral,moga polisi masyarakat
Profesionalitas dalam bertugas adalah kunci kepercayaan publik.,netral,profesionalitas tugas kunci percaya publik
"Makin tegas, makin transparan, makin dipercaya!",netral,transparan percaya
"Tugas polisi berat, tapi tetap harus akuntabel!",netral,tugas polisi berat akuntabel
"Polisi juga manusia, tapi tetap harus menjalankan tugas dengan benar.",netral,polisi manusia jalan tugas
Semoga makin banyak polisi yang jujur dan berintegritas!,netral,moga polisi jujur integritas
Ketegasan polisi harus selalu seimbang dengan keadilan.,netral,tegas polisi imbang adil
"Penegakan hukum itu penting, semoga polisi bisa lebih baik lagi!",netral,tegak hukum moga polisi
Harus ada perbaikan terus-menerus dalam sistem kepolisian.,netral,baik terus sistem polisi
"Jangan lupa, polisi juga pelindung rakyat!",netral,jangan lupa polisi lindung rakyat
Pelayanan publik yang baik akan meningkatkan kepercayaan masyarakat.,netral,layan publik tingkat percaya masyarakat
Polisi yang baik pasti dicintai rakyat!,netral,polisi cinta rakyat
Semoga reformasi kepolisian terus berjalan ke arah yang lebih baik!,netral,moga reformasi polisi jalan arah
Tugas berat polisi harus diimbangi dengan tanggung jawab yang besar.,netral,tugas berat polisi imbang tanggung
"Hukum harus ditegakkan tanpa pandang bulu, polisi punya peran besar!",netral,hukum tegak tanpa pandang bulu polisi peran
"Polisi juga manusia, tapi tetap harus profesional dalam bekerja.",netral,polisi manusia profesional
"Semakin cepat respons kepolisian, semakin baik untuk masyarakat.",netral,cepat respons polisi masyarakat
Kepolisian perlu lebih transparan dalam menangani kasus!,netral,polisi transparan tangan
Penegakan hukum harus terus ditingkatkan demi keamanan bersama.,netral,tegak hukum tingkat aman
Kepolisian yang baik harus bisa melayani masyarakat dengan sepenuh hati.,netral,polisi layan masyarakat penuh hati
Setiap laporan harus ditindaklanjuti biar masyarakat merasa aman!,netral,lapor tindaklanjut biar masyarakat aman
Kinerja polisi harus terus dievaluasi biar lebih efektif!,netral,kinerja polisi evaluasi biar efektif
"Ketegasan polisi penting, tapi jangan sampai merugikan masyarakat.",netral,tegas polisi jangan rugi masyarakat
Terima Kasih buat polisi yang membantu mengamankan,joy,terima kasih polisi bantu aman
terima kasih atas kinerjanya bapak polisi ,joy,terima kasih kinerja polisi
Terima kasih pak Polisi karena sudah menyelamatkan para korban ,joy,terima kasih polisi selamat korban
Terima kasih Polres Serang sudah menjaga kondusifitas kotanya.,joy,terima kasih polres serang jaga kondusifitas kota
Keren terima kasih bapak polisi,joy,keren terima kasih polisi
Good job Pak Polisi terima kasih sudah mengevakuasi pelaku,joy,good job polisi terima kasih evakuasi laku
Terima kasih pak polisi semoga cepat diusut tuntas.,joy,terima kasih polisi moga cepat usut tuntas
Terima kasih bapak polisi yang rela membantu warga,joy,terima kasih polisi rela bantu warga
Sekali lagi terima kasih pak Polisi sudah menginspirasi kita semua,joy,terima kasih polisi inspirasi
terima kasih Bapak polisi yang sudah membantu,joy,terima kasih polisi bantu
salut banget sama pak polisi terima kasih pak,joy,salut banget polisi terima kasih
Terima kasih pak polisi yang menjaga terus tanpa lelah,joy,terima kasih polisi jaga tanpa lelah
Terima kasih pak Polisi untuk kronologinya,joy,terima kasih polisi kronologi
Terima kasih Polri atas upaya yang dilakukan untuk menghormati jasa-jasa pahlawan kita,joy,terima kasih polri upaya hormat jasa pahlawan
Terima kasih pak Polisi yang sudah menjalankan tugasnya mengawal,joy,terima kasih polisi jalan tugas kawal
keren nih programnya terima kasih pak polisi terus Berkarya Berinovasi Mengayomi,joy,keren ini program terima kasih polisi karya inovasi ayom
Teruslah Berkarya Berinovasi Mengayomi terima kasih pak polisi sehat selalu,joy,terus karya inovasi ayom terima kasih polisi sehat
terima kasih bapak kapolri atas komitmennya Polisi Jaga Persatuan dan kesatuan bangsa,joy,terima kasih kapolri komitmen polisi jaga satu satu bangsa
bangga pak polisi melayani dengan hati melakukan tugas penuh amanah,joy,bangga polisi layan hati tugas penuh amanah
Luar biasa cepat tanggap bapak polisi,joy,cepat tanggap polisi
Terima kasih pak polisi yang bergerak dengan cepat,joy,terima kasih polisi gerak cepat
Dukungan Ini Merupakan Wujud Terima Kasih Sebab Kebaikan Polisi,joy,dukung wujud terima kasih baik polisi
Terima kasih sarannya pak polisi,joy,terima kasih saran polisi
Wah terima kasih pak polisi saya jadi terharu,joy,terima kasih polisi haru
Mantap Terima kasih pak polisi sudah menangkap Pelaku,joy,mantap terima kasih polisi tangkap laku
Hadir disaat dibutuhkan terima kasih ibu Polwan,joy,hadir saat butuh terima kasih polw
Hadir ditengah masyarakat terima kasih Polri,joy,hadir tengah masyarakat terima kasih polri
Memanusiakan manusia terima kasih Polri,joy,manusia manusia terima kasih polri
Jiwa raga untuk kemanusiaan terima kasih Polri telah peduli,joy,jiwa raga manusia terima kasih polri peduli
Terima kasih Polri telah berbagi buku sekaligus ilmu,joy,terima kasih polri bagi buku ilmu
Terima kasih telah hadir ditengah masyarakat,joy,terima kasih hadir tengah masyarakat
Berbagi buku sekaligus ilmu terima kasih Polri,joy,bagi buku ilmu terima kasih polri
Terima kasih Polisi yang selalu hadir ditengah masyarakat,joy,terima kasih polisi hadir tengah masyarakat
jarang terlihat dilayar kaca tapi nyata dilapangan Terima kasih Polisi Baik,joy,jarang layar kaca nyata lapang terima kasih polisi
terima kasih pak kapolres kami masyarakat banyak-banyak terima kasih atas bantunnya,joy,terima kasih kapolres masyarakat terima kasih bantun
Mantap langsung ketahuan Terima kasih polisi,joy,mantap langsung tahu terima kasih polisi
Ini Polisinya wajib dikasih penghargaan karena hal hal begini saja menjadi perhatiannya,joy,polisi wajib kasih harga perhati
jarang jarang Pak Polisi seperti ini Terima kasih Polri semoga semakin sejahtera ,joy,jarang polisi terima kasih polri moga sejahtera
TERIMA kasih polisi baik Salut,joy,terima kasih polisi salut
Alhamdulillah terima kasih pak Polisi hukum seberat beratmya mahluk kayak dia,anger,alhamdulillah terima kasih polisi hukum berat beratmya mahluk kayak
sekali lagi polisi goblok terima kasih.,joy,polisi goblok terima kasih
Terima kasih pak polisi hadapi dengan senyuman setiap melaksanakan tugas,joy,terima kasih polisi hadap senyum laksana tugas
Terima kasih pak polisi sudah mengungkap kebenaran ,joy,terima kasih polisi ungkap benar
Terima kasih polisi dan Relawan telah bekerja semaksimal mungkin,joy,terima kasih polisi relawan maksimal
TERIMA KASIH BAPAK POLISI SUDAH MENEGAKKAN KEADILAN ,joy,terima kasih polisi tegak adil
Terima kasih atas bantuannya Pak polisi,joy,terima kasih bantu polisi
Terima kasih Pak Polisi dan Bu Polisi yang standby setiap malam,joy,terima kasih polisi bu polisi standby malam
terima kasih pak polisi sudah turut membantu evakuasi,joy,terima kasih polisi bantu evakuasi
Terima kasih atas dedikasi dan kontribusimu pak polisi,joy,terima kasih dedikasi kontribusi polisi
terima kasih pak polisi yang selalu Siaga membantu masyarakat mari kita Bersama Saling Waspada,joy,terima kasih polisi siaga bantu masyarakat mari waspada
Terima kasih kepada para polisi yang sudah membantu warga,joy,terima kasih polisi bantu warga
