id_process,text,emotion,preprocessed_result
36,saya sebagai rakyat kecewa dengan kinerja polisi,sadness,rakyat kecewa kinerja polisi
37,kecewa kinerja polisi lambat mengembangkan kasus ,sadness,kecewa kinerja polisi lambat kembang
38,kami sebagai masyarakat kecewa sama kepolisian,sadness,masyarakat kecewa polisi
39,terus terang kami kecewa terhadap polisi,sadness,terang kecewa polisi
40,saya sedih marah dan kecewa kepada siapa lagi rakyat mengadu pak,sadness,sedih marah kecewa rakyat adu
41,tolong dong pak dibuktikan kalau hoax dengan bukti-bukti yang valid biar rakyat bisa percaya,trust,tolong bukti hoax bukti valid biar rakyat percaya
42,polisi membatalkan konser untuk ahmad dhani membuat ribuan peserta kecewa,sadness,polisi batal konser ahmad dhani ribu serta kecewa
43,semoga citra kalian semakin buruk!,anger,moga citra buruk
44,kecewa saya sama penguasa dan polisi,sadness,kecewa kuasa polisi
45,saya berharap lebih di kasus ini jadi kecewa sama polisi,sadness,harap kecewa polisi
46,demi allah saya sedih kecewa dan marah pada polisi,sadness,allah sedih kecewa marah polisi
47,jangan buat kami kecewa dan sakit hati pada kamu pak polisi,sadness,jangan kecewa sakit hati polisi
48,aku kecewa banget sikap polisi,sadness,kecewa banget sikap polisi
49,kecewa dengan polisi karena intel cuma datang bilang sabar,sadness,kecewa polisi intel bilang sabar
50,siti rusmini kecewa karena laporan kekerasan dalam rumah tangga mengendap di kantor polisi,sadness,siti rusmini kecewa lapor keras rumah tangga endap kantor polisi
51,segel mobil box pengiriman surat suara rusak bawaslu kecewa polisi tidak mengkawal pengiriman suaranya,sadness,segel mobil box kirim surat suara rusak bawaslu kecewa polisi tidak kawal kirim suara
52,pengalaman baru lagi mengurus tilang sejauh ini masih sangat kecewa dengan polisi,sadness,alam urus tilang kecewa polisi
53,Kenapa polisi selalu membuat rakyat kecewa,sadness,polisi rakyat kecewa
54,ibu korban kecewa polisi hentikan kasus dugaan pencabulan anak,sadness,korban kecewa polisi henti duga cabul anak
55,kecewa dengan penanganan polisi yang dinilai,sadness,kecewa tangan polisi nilai
56,kecewa polisi hentikan kasus kepala sekolah cabul,sadness,kecewa polisi henti kepala sekolah cabul
57,panitia kecewa karena polisi menghadang peserta luar kota yang akan bergabung,sadness,panitia kecewa polisi hadang serta kota gabung
58,saya kecewa sekali kost saya kemalingan lapor ke kantor polisi tapi tidak ada yang mengangkat,sadness,kecewa kost maling lapor kantor polisi tidak angkat
59,penampilannya dihentikan polisi sheila on 7 kecewa terhadap toleransi aparat,sadness,tampil henti polisi sheila on kecewa toleransi aparat
60,kecewa aja liat polisi tidak ada tegasnya,sadness,kecewa aja liat polisi tidak
61,sebenarnya cukup kecewa dengan keadaan jalan karena tidak ada polisi,sadness,kecewa jalan tidak polisi
62,kecewa dengan kinerja polisi,sadness,kecewa kinerja polisi
63,kecewa polisi malas mengungkap kejahatan,sadness,kecewa polisi malas ungkap jahat
64,sedih polisi tangguhkan pelaku pengeroyokan tempat hiburan malam,sadness,sedih polisi tangguh laku keroyok hibur malam
65,orator aksi kecewa dihalau polisi,sadness,orator aksi kecewa halau polisi
66,jangan terlalu berharap banyak dari polisi ujungnya kecewa,sadness,jangan harap polisi ujung kecewa
67,tak berharap banyak dari polisi nanti kecewa,sadness,harap polisi kecewa
68,keluarga tabrak lari kecewa laporan ke polisi tidak direspon,sadness,keluarga tabrak lari kecewa lapor polisi tidak direspon
69,kecewa banget sama polisi ,sadness,kecewa banget polisi
70,saya kecewa polisi menetapkan tersangka yang salah,sadness,kecewa polisi tetap sangka salah
71,saya termasuk orang yang kecewa dengan polisi,sadness,orang kecewa polisi
72,melihat sikap polisi beberapa waktu ini jadi kecewa,sadness,sikap polisi kecewa
73,saya kecewa dan marah karena Polisi tidak melanjutkan kasus tersebut,anger,kecewa marah polisi tidak lanjut
74,pasti pak polisi bisa membantu bapak,trust,polisi bantu
75,yang lebih buat saya kecewa adalah tindakan polisi,sadness,kecewa tindak polisi
76,kecewa dengan pihak polisi kenapa jadi serumit ini,sadness,kecewa polisi rumit
77,kecewa polisi belum tangkap pelaku,sadness,kecewa polisi belum tangkap laku
78,Pelaku Penyerangan Tak Kunjung Ditangkap rakyat Kecewa sama Polisi,sadness,laku serang kunjung tangkap rakyat kecewa polisi
79,Ketiga korban persekusi mengaku kecewa dengan Kepala Pos Polisi,sadness,tiga korban persekusi aku kecewa kepala pos polisi
80,polisi jujur adil dan tegas,trust,polisi jujur adil
81,Ini sungguh tidak adil brengsek kalian polisi,anger,sungguh tidak adil brengsek polisi
82,Yang jujur dan adil ya pak Polisi semoga amanah dan sukses,trust,jujur adil iya polisi moga amanah sukses
83,perlu aparat kepolisian demi menjaga keamanan kedamaian,trust,aparat polisi jaga aman damai
84,keren sekali pak polisi menjaga pemilu aman damai jujur dan adil,joy,keren polisi jaga milu aman damai jujur adil
85,Polisi harus segera usut dan proses dengan adil,trust,polisi usut proses adil
86,Polisi ini memang biang masalah,anger,polisi biang
87,Jadilah polisi yang amanah jujur adil,trust,polisi amanah jujur adil
88,dari dulu polisi itu menakutkan,fear,polisi takut
89,Saya yakin Polisi sebagai pengayom masyarakat akan dapat benar-benar menjadi kebanggaan rakyat Indonesia,trust,polisi ayom masyarakat bangga rakyat indonesia
90,Dan penegak hukum sangat adil polisi semua jujur,trust,tegak hukum adil polisi jujur
91,Polisi kita jujur membela rakyat kecil,trust,polisi jujur bela rakyat
92,saya yakin Polisi Kita bersih dari uang haram ,trust,polisi bersih uang haram
93,polisi kita bersih jujur dan adil,trust,polisi bersih jujur adil
94,Dimana adanya polisi yang jujur,sadness,mana polisi jujur
95,tetap jadilah polisi yang jujur baik bijaksana dan adil dalam bertugas,trust,polisi jujur bijaksana adil tugas
96,Ikut senang cuma karena melihat kejujuran masih ada nilainya ternyata,joy,senang jujur nilai
97,Dan ternyata polisi jujur masih dan mau tulus minta maaf ada juga,trust,polisi jujur tulus maaf
98,Polisi buktikan institusi polisi menegak kan adil jujur tanpa ada intimidasi dari pihak mana pun.,trust,polisi bukti institusi polisi tegak adil jujur tanpa intimidasi
99,semakin tidak percaya dengan kinerja polisi sungguh tidak adil,sadness,tidak percaya kinerja polisi sungguh tidak adil
100,Teruntuk polisi-polisi yang jujur adil dan bekerja semaksimal mungkin saya ucapkan banyak terimakasih,trust,untuk polisi jujur adil maksimal ucap terimakasih
101,Sungguh polri mengecewakan rakyat,sadness,sungguh polri kecewa rakyat
102,Masih banyak polisi kita yang sangat jujur dan adil sopan ramah,trust,polisi jujur adil sopan ramah
103,saya dan mungkin jutaan orang mulai percaya pada polisi,trust,juta orang percaya polisi
104,Polisi memang semestinya berani baik jujur dan berlaku adil,trust,polisi mesti berani jujur laku adil
105,kita rakyat pasti mendukung polisi yang jujur adil dan berani demi kebenaran,trust,rakyat dukung polisi jujur adil berani benar
106,Hukum indonesia butuh polisi yang jujur dan adil,trust,hukum indonesia butuh polisi jujur adil
107,Saya dukung selama kerja polisi jujur dan adil serta manusiawi,trust,dukung kerja polisi jujur adil manusiawi
108,Terima kasih karena Polri telah menjadi lembaga yang menjaga dan mewujudkan pemilu yang jujur dan adil,trust,terima kasih polri lembaga jaga wujud milu jujur adil
109,Polisi Indonesia itu tegas jujur dan adil,trust,polisi indonesia jujur adil
110,Terima kasih pak polisi sudah selalu jujur dan adil,trust,terima kasih polisi jujur adil
111,Susah sekarang cari polisi yang jujur dan adil,sadness,susah cari polisi jujur adil
112,permasalahan bangsa ini adalah Penegak Hukum atau Polisi saat ini TIDAK DIPERCAYA oleh Rakyat,sadness,masalah bangsa tegak hukum polisi tidak percaya rakyat
113,Prihatin polisi yang jujur dan adil sudah sangat minim sekarang,sadness,prihatin polisi jujur adil minim
114,tambahkan kinerja polisi jadilah polisi yang jujur adil melindungi rakyat,trust,tambah kinerja polisi polisi jujur adil lindung rakyat
115,polisi harus bersikap adil dan benar dan yang penting jujur untuk kasus ini,trust,polisi sikap adil jujur
116,Polisi zaman sakarang sudah JUJUR dan ADIL,trust,polisi zaman sakarang jujur adil
117,Masyarakat Indonesia semua senang ada polisi yang jujur dan adil,joy,masyarakat indonesia senang polisi jujur adil
118,senang sekali Polri gelar Bakti sosial untuk ringankan beban masyarakat,joy,senang polri gelar bakti sosial ringan beban masyarakat
119,Sepertinya sekarang polisi sudah jadi alat kekuasaan bukan lagi sebagai penegak hukum yang amanah jujur dan adil buat semua,sadness,polisi alat kuasa bukan tegak hukum amanah jujur adil
120,sebegitu saya mengagumi polisi tapi anda sebagai polisi tidak bekerja secara jujur dan adil tolong selesaikan sesuai hukum!,sadness,kagum polisi polisi tidak jujur adil tolong selesai suai hukum
121,Polri Bertindaklah jujur dan adil jangan sampai hukum dijadikan alat kekuasaan dan menindas mereka yang lemah,trust,polri tindak jujur adil jangan hukum jadi alat kuasa tindas lemah
122,menjadi Polisi yg baik jujur serta bisa berlaku Adil,trust,polisi yang jujur laku adil
123,polisi menjalin silaturahmi dengan masyarakat sekaligus mendengarkan keluh kesah dan aspirasi masyarakat,trust,polisi jalin silaturahmi masyarakat dengar keluh kesah aspirasi masyarakat
124,bekerja sebagai polisi punya integritas dan kinerja yang sangat baik dan bisa diandalkan.,trust,polisi integritas kinerja andal
125,sedih sekali polisi berulah menerima sogokan dari perusahaan,sadness,sedih polisi ulah terima sogok usaha
126,maka dari itu kinerja polisi sudah semakin baik,trust,kinerja polisi
127,Masyarakat Puas Atas Kinerja Polri Amankan Pemilu,joy,masyarakat puas kinerja polri aman milu
128,Masih percaya sama kinerja Polisi,trust,percaya kinerja polisi
129,Berhenti berharap dengan kinerja polisi lebih baik masyarakat yang bergerak,sadness,henti harap kinerja polisi masyarakat gerak
130,saya benci kinerja polisi soal pencurian motor atau mobil,anger,benci kinerja polisi curi motor mobil
131,yang terpenting semakin meningkatkan kinerja polisi,trust,penting tingkat kinerja polisi
132,lihat pak kinerja polisi hancur,sadness,lihat kinerja polisi hancur
133,apresiasi yang mendalam terhadap dedikasi dan kinerja yang luar biasa dari Polisi,joy,apresiasi dalam dedikasi kinerja polisi
134,saya selalu sakit hati kalo mengingat kinerja polisi di negara sendiri,sadness,sakit hati kalau kinerja polisi negara
135,Hebat kinerja polisi dalam menangkap pelaku kriminal,joy,hebat kinerja polisi tangkap laku kriminal
136,senang sekali dengan kinerja polisi yang mampu menangkap pengedar,joy,senang kinerja polisi tangkap edar
137,salut dan bangga selalu dengan kinerja pak polisi Bersama Berantas Kriminalitas,joy,salut bangga kinerja polisi berantas kriminalitas
138,Patut diapresiasi atas kinerja polisi yang bergerak cepat menangkap pengedar narkoba,joy,patut apresiasi kinerja polisi gerak cepat tangkap edar narkoba
139,salut sama kinerja bapak polisi yang selalu tanggap menyelesaikan berbagai masalah,joy,salut kinerja polisi tanggap selesai
140,apresiasi untuk polisi yang sudah berjasa dengan membongkar kasus narkoba,joy,apresiasi polisi jasa bongkar menarkoba
141,Ayo Pak Polisi berantas habis para pelaku narkoba,trust,ayo polisi berantas habis laku menarkoba
142,Kami bangga sekali dengan kinerja polisi,joy,bangga kinerja polisi
143,Saya semakin yakin kinerja polri akan lebih baik polisi,trust,kinerja polri polisi
144,kecewa kinerja polisi buruk,sadness,kecewa kinerja polisi buruk
145,senang dengan kejujuran dan integritas yang kuat dalam tubuh Kepolisian.,joy,senang jujur integritas kuat tubuh polisi
146,jadi merasa aman karena Polisi ada dalam menjaga Keamanan dan Kenyamanan masyarakat,trust,aman polisi jaga aman nyaman masyarakat
147, polisi Kinerja kayak tai,anger,polisi kinerja kayak tai
148,kinerja polisi di masa depan makin bagus,trust,kinerja polisi bagus
149,senang rasanya polisi mendengarkan keluh kesah masyarakat dan mengayomi masyarakat,joy,senang polisi dengar keluh kesah masyarakat ayom masyarakat
150,mantul sekali kinerja polisi,joy,pantul kinerja polisi
151,Publik Puas Atas Kinerja Polisi,joy,publik puas kinerja polisi
152,Terima kasih pak polisi,joy,terima kasih polisi
153,Alhamdulillah terima kasih pak polisi,joy,alhamdulillah terima kasih polisi
154,pak polisi terima kasih,joy,polisi terima kasih
155,Terima kasih pak kapolresta atas kepedulian terhadap Fasilitas Publik,joy,terima kasih kapolresta peduli fasilitas publik
156,Polisi peduli kebersihan keindahan Kota Terima kasih Pak,joy,polisi peduli bersih indah kota terima kasih
157,Terima kasih Polisi yang peduli kebersihan keindahan Kota,joy,terima kasih polisi peduli bersih indah kota
158,terima kasih pak polisi udah bersiap siaga mengamankan arus mudik balik semoga diberikan kesehatan dan kelancaran dalam bertugas,joy,terima kasih polisi udah siaga aman arus mudik moga sehat lancar tugas
159,Mantep betul polisi mempersiapkan dengan matang untuk lebaran tahun,joy,mantap polisi matang lebaran
160,Terima kasih pak Polisi saya pulang mudik sudah tidak macet lagi lancar sekali perjalanan saya,joy,terima kasih polisi pulang mudik tidak macet lancar jalan
161,saya pulang mudik sudah tidak macet lagi lancar sekali perjalanan saya terima kasih pak polisi,joy,pulang mudik tidak macet lancar jalan terima kasih polisi
162,alhamdulillah di mudik tahun sekarang sudah banyak kemajuan terima kasih pak polisi,joy,alhamdulillah mudik maju terima kasih polisi
163,mantap deh pokoknya pak polisi,joy,mantap deh pokok polisi
164,Terima kasih pak polisi semoga anda selalu diberi kesehatan dan dilancarkan rejekinya,joy,terima kasih polisi moga sehat lancar rejeki
165,Terima kasih pak Polisi mudik lancar dan aman tanpa macet seperti tahun sebelumnya ditangani dengan baik dan luar biasa,joy,terima kasih polisi mudik lancar aman tanpa macet tangan
166,Terima kasih Pak Polisi sudah memberikan pelayanan terbaik kepada masyarakat,joy,terima kasih polisi layan baik masyarakat
167,Memang mantap penanganan mudik dari polisi,joy,mantap tangan mudik polisi
168,terima kasih pak polisi sehat selalu dalam melaksanakan tugasnya.,joy,terima kasih polisi sehat laksana tugas
169,terima kasih pak polisi atas kinerjanya,joy,terima kasih polisi kinerja
170,kami masyarakat terima kasih atas pelayanannya pak polisi,joy,masyarakat terima kasih layan polisi
171,Terima kasih pak Polisi senang sekali mudik bisa lancar dan aman tanpa macet,joy,terima kasih polisi senang mudik lancar aman tanpa macet
172,Alhamdulillah mudik dijaga pak polisi terima kasih pak atas dedikasinya,joy,alhamdulillah mudik jaga polisi terima kasih dedikasi
173,Jangan Pernah Berhenti Berbuat Baik kepada Sesama Pak polisi,trust,jangan henti buat polisi
174,kami mengucapkan terima kasih kepada seluruh jajaran Polri di seluruh Indonesia,joy,terima kasih jajar polri indonesia
175,Terima kasih pak polisi telah memberikan rasa aman dan nyaman disetiap perjalanan kami.,joy,terima kasih polisi aman nyaman tiap jalan
176,Terima kasih pak Polisi mudik tahun ini gak kena macet dan lacar banget pokoknya tetap semangat deh buat pak Polisi dalam bertugas.,joy,terima kasih polisi mudik tidak kena macet lacar banget pokok semangat deh polisi tugas
177,Mantap Mudik balik lebaran kami sekeluarga aman dan lancar,joy,mantap mudik lebaran keluarga aman lancar
178,terima kasih pak dan bu polisi yang bertugas,joy,terima kasih bu polisi tugas
179,hebat pak polisi Arus mudik balik lebaran aman dan nyaman Terima kasih polri,joy,hebat polisi arus mudik lebaran aman nyaman terima kasih polri
180,Terima kasih pak polisi yang ngatur jalan,joy,terima kasih polisi atur jalan
181,Terima kasih sudah menjaga keamanan dan kenyamanan,joy,terima kasih jaga aman nyaman
182,Terima kasih bapak polisi semua sehat terus pak,joy,terima kasih polisi sehat
183,terima kasih bapak polisi telah siap sedia selalu untuk mengamankan semuanya dengan baik,joy,terima kasih polisi sedia aman
184,Terima kasih pak polisi yang selalu memberikan pelayanan terbaik kepada kami,joy,terima kasih polisi layan baik
185,Terima Kasih Pak Polisi mudik jadi tenang aman terkendali,joy,terima kasih polisi mudik tenang aman kendali
186,Terima kasih Pak polisi telah mengamankan Mudik kami,joy,terima kasih polisi aman mudik
187,terima kasih Polisi Indonesia dedikasimu melindungi masyarakat patut diacungi jempol,joy,terima kasih polisi indonesia dedikasi lindung masyarakat patut acung jempol
188,Terima kasih polisi wanita,joy,terima kasih polisi wanita
189,Terima Kasih Untuk Dukungannya Pak Polisi,joy,terima kasih dukung polisi
190,Terima kasih bu polisi,joy,terima kasih bu polisi
191,Terima kasih para polwan,joy,terima kasih polwan
192,Terima kasih polwan,joy,terima kasih polw
193,Polisi begini cepat tanggap dan peka Terima kasih pak polisi kalian sudah bekerja keras,joy,polisi cepat tanggap peka terima kasih polisi keras
194,Polisi begini nih cepat tanggap dan peka,joy,polisi ini cepat tanggap peka
195,Terima kasih pak polisi kalian sudah bekerja keras,joy,terima kasih polisi keras
196,Disaat kami terancam kalian ada untuk melindungi kita Terima kasih pak polisi dan pak TNI Semangat terus,joy,saat ancam lindung terima kasih polisi tni semangat
197,Terima kasih pak polisi sudah mewakili kami semua,joy,terima kasih polisi wakil
198,Terima Kasih pak polisi terbaik,joy,terima kasih polisi baik
199,Semoga kepolisian makin profesional dalam tugasnya.,netral,moga polisi profesional tugas
200,"Tugas polisi memang berat, semoga bisa lebih baik ke depannya.",netral,tugas polisi berat moga depan
201,"Keamanan itu penting, semoga polisi bisa tetap sigap!",netral,aman moga polisi sigap
202,"Polisi punya peran besar di masyarakat, semoga makin transparan!",netral,polisi peran masyarakat moga transparan
203,"Setiap tugas pasti ada tantangannya, semoga polisi makin kompeten!",netral,tugas tantang moga polisi kompeten
204,Semoga semua laporan masyarakat ditindaklanjuti dengan cepat.,netral,moga lapor masyarakat ditindaklanjuti cepat
205,Polisi harus bisa menjaga ketertiban dengan adil.,netral,polisi jaga tertib adil
206,"Setiap kasus pasti ada prosesnya, semoga ditangani dengan baik.",netral,proses moga tangan
207,Kinerja kepolisian perlu dievaluasi secara berkala biar makin optimal!,netral,kinerja polisi evaluasi kala biar optimal
208,"Gimana pun juga, keamanan masyarakat ada di tangan polisi.",netral,gimana aman masyarakat tangan polisi
209,Semoga makin banyak polisi yang benar-benar menjalankan tugasnya dengan baik!,netral,moga polisi jalan tugas
210,Masyarakat butuh kepolisian yang responsif dan tegas.,netral,masyarakat butuh polisi responsif
211,Polisi perlu beradaptasi dengan perkembangan zaman biar makin efektif.,netral,polisi adaptasi kembang zaman biar efektif
212,"Menjaga keamanan bukan hal mudah, semangat buat kepolisian!",netral,jaga aman bukan mudah semangat polisi
213,Pelayanan kepolisian harus lebih cepat dan transparan!,netral,layan polisi cepat transparan
214,Keamanan yang baik butuh kerja sama polisi dan masyarakat.,netral,aman butuh kerja polisi masyarakat
215,Polisi harus jadi contoh dalam menaati hukum.,netral,polisi contoh taat hukum
216,Setiap kasus yang ditangani polisi harus jelas dan transparan.,netral,tangan polisi transparan
217,Semoga polisi bisa makin dekat dengan masyarakat!,netral,moga polisi masyarakat
218,Profesionalitas dalam bertugas adalah kunci kepercayaan publik.,netral,profesionalitas tugas kunci percaya publik
219,"Makin tegas, makin transparan, makin dipercaya!",netral,transparan percaya
220,"Tugas polisi berat, tapi tetap harus akuntabel!",netral,tugas polisi berat akuntabel
221,"Polisi juga manusia, tapi tetap harus menjalankan tugas dengan benar.",netral,polisi manusia jalan tugas
222,Semoga makin banyak polisi yang jujur dan berintegritas!,netral,moga polisi jujur integritas
223,Ketegasan polisi harus selalu seimbang dengan keadilan.,netral,tegas polisi imbang adil
224,"Penegakan hukum itu penting, semoga polisi bisa lebih baik lagi!",netral,tegak hukum moga polisi
225,Harus ada perbaikan terus-menerus dalam sistem kepolisian.,netral,baik terus sistem polisi
226,"Jangan lupa, polisi juga pelindung rakyat!",netral,jangan lupa polisi lindung rakyat
227,Pelayanan publik yang baik akan meningkatkan kepercayaan masyarakat.,netral,layan publik tingkat percaya masyarakat
228,Polisi yang baik pasti dicintai rakyat!,netral,polisi cinta rakyat
229,Semoga reformasi kepolisian terus berjalan ke arah yang lebih baik!,netral,moga reformasi polisi jalan arah
230,Tugas berat polisi harus diimbangi dengan tanggung jawab yang besar.,netral,tugas berat polisi imbang tanggung
231,"Hukum harus ditegakkan tanpa pandang bulu, polisi punya peran besar!",netral,hukum tegak tanpa pandang bulu polisi peran
232,"Polisi juga manusia, tapi tetap harus profesional dalam bekerja.",netral,polisi manusia profesional
233,"Semakin cepat respons kepolisian, semakin baik untuk masyarakat.",netral,cepat respons polisi masyarakat
234,Kepolisian perlu lebih transparan dalam menangani kasus!,netral,polisi transparan tangan
235,Penegakan hukum harus terus ditingkatkan demi keamanan bersama.,netral,tegak hukum tingkat aman
236,Kepolisian yang baik harus bisa melayani masyarakat dengan sepenuh hati.,netral,polisi layan masyarakat penuh hati
237,Setiap laporan harus ditindaklanjuti biar masyarakat merasa aman!,netral,lapor tindaklanjut biar masyarakat aman
238,Kinerja polisi harus terus dievaluasi biar lebih efektif!,netral,kinerja polisi evaluasi biar efektif
239,"Ketegasan polisi penting, tapi jangan sampai merugikan masyarakat.",netral,tegas polisi jangan rugi masyarakat
240,Terima Kasih buat polisi yang membantu mengamankan,joy,terima kasih polisi bantu aman
241,terima kasih atas kinerjanya bapak polisi ,joy,terima kasih kinerja polisi
242,Terima kasih pak Polisi karena sudah menyelamatkan para korban ,joy,terima kasih polisi selamat korban
243,Terima kasih Polres Serang sudah menjaga kondusifitas kotanya.,joy,terima kasih polres serang jaga kondusifitas kota
244,Keren terima kasih bapak polisi,joy,keren terima kasih polisi
245,Good job Pak Polisi terima kasih sudah mengevakuasi pelaku,joy,good job polisi terima kasih evakuasi laku
246,Terima kasih pak polisi semoga cepat diusut tuntas.,joy,terima kasih polisi moga cepat usut tuntas
247,Terima kasih bapak polisi yang rela membantu warga,joy,terima kasih polisi rela bantu warga
248,Sekali lagi terima kasih pak Polisi sudah menginspirasi kita semua,joy,terima kasih polisi inspirasi
249,terima kasih Bapak polisi yang sudah membantu,joy,terima kasih polisi bantu
250,salut banget sama pak polisi terima kasih pak,joy,salut banget polisi terima kasih
251,Terima kasih pak polisi yang menjaga terus tanpa lelah,joy,terima kasih polisi jaga tanpa lelah
252,Terima kasih pak Polisi untuk kronologinya,joy,terima kasih polisi kronologi
253,Terima kasih Polri atas upaya yang dilakukan untuk menghormati jasa-jasa pahlawan kita,joy,terima kasih polri upaya hormat jasa pahlawan
254,Terima kasih pak Polisi yang sudah menjalankan tugasnya mengawal,joy,terima kasih polisi jalan tugas kawal
255,keren nih programnya terima kasih pak polisi terus Berkarya Berinovasi Mengayomi,joy,keren ini program terima kasih polisi karya inovasi ayom
256,Teruslah Berkarya Berinovasi Mengayomi terima kasih pak polisi sehat selalu,joy,terus karya inovasi ayom terima kasih polisi sehat
257,terima kasih bapak kapolri atas komitmennya Polisi Jaga Persatuan dan kesatuan bangsa,joy,terima kasih kapolri komitmen polisi jaga satu satu bangsa
258,bangga pak polisi melayani dengan hati melakukan tugas penuh amanah,joy,bangga polisi layan hati tugas penuh amanah
259,Luar biasa cepat tanggap bapak polisi,joy,cepat tanggap polisi
260,Terima kasih pak polisi yang bergerak dengan cepat,joy,terima kasih polisi gerak cepat
261,Dukungan Ini Merupakan Wujud Terima Kasih Sebab Kebaikan Polisi,joy,dukung wujud terima kasih baik polisi
262,Terima kasih sarannya pak polisi,joy,terima kasih saran polisi
263,Wah terima kasih pak polisi saya jadi terharu,joy,terima kasih polisi haru
264,Mantap Terima kasih pak polisi sudah menangkap Pelaku,joy,mantap terima kasih polisi tangkap laku
265,Hadir disaat dibutuhkan terima kasih ibu Polwan,joy,hadir saat butuh terima kasih polw
266,Hadir ditengah masyarakat terima kasih Polri,joy,hadir tengah masyarakat terima kasih polri
267,Memanusiakan manusia terima kasih Polri,joy,manusia manusia terima kasih polri
268,Jiwa raga untuk kemanusiaan terima kasih Polri telah peduli,joy,jiwa raga manusia terima kasih polri peduli
269,Terima kasih Polri telah berbagi buku sekaligus ilmu,joy,terima kasih polri bagi buku ilmu
270,Terima kasih telah hadir ditengah masyarakat,joy,terima kasih hadir tengah masyarakat
271,Berbagi buku sekaligus ilmu terima kasih Polri,joy,bagi buku ilmu terima kasih polri
272,Terima kasih Polisi yang selalu hadir ditengah masyarakat,joy,terima kasih polisi hadir tengah masyarakat
273,jarang terlihat dilayar kaca tapi nyata dilapangan Terima kasih Polisi Baik,joy,jarang layar kaca nyata lapang terima kasih polisi
274,terima kasih pak kapolres kami masyarakat banyak-banyak terima kasih atas bantunnya,joy,terima kasih kapolres masyarakat terima kasih bantun
275,Mantap langsung ketahuan Terima kasih polisi,joy,mantap langsung tahu terima kasih polisi
276,Ini Polisinya wajib dikasih penghargaan karena hal hal begini saja menjadi perhatiannya,joy,polisi wajib kasih harga perhati
277,jarang jarang Pak Polisi seperti ini Terima kasih Polri semoga semakin sejahtera ,joy,jarang polisi terima kasih polri moga sejahtera
278,TERIMA kasih polisi baik Salut,joy,terima kasih polisi salut
279,Alhamdulillah terima kasih pak Polisi hukum seberat beratmya mahluk kayak dia,anger,alhamdulillah terima kasih polisi hukum berat beratmya mahluk kayak
280,sekali lagi polisi goblok terima kasih.,joy,polisi goblok terima kasih
