preprocessed_result,emotion
terima kasih polisi inspirasi,senang
terima kasih polisi bantu,senang
salut banget polisi terima kasih,senang
terima kasih polisi jaga lelah,senang
terima kasih polisi kronologi,senang
terima kasih polri upaya hormat jasa pahlawan,senang
terima kasih polisi jalan tugas kawal,senang
keren ini program terima kasih polisi karya inovasi ayom,senang
terus karya inovasi ayom terima kasih polisi sehat,senang
terima kasih kapolri komitmen polisi jaga satu satu bangsa,senang
bangga polisi layan hati tugas penuh amanah,senang
cepat tanggap polisi,senang
terima kasih polisi gerak cepat,senang
dukung wujud terima kasih baik polisi,senang
terima kasih saran polisi,senang
terima kasih polisi haru,senang
mantap terima kasih polisi tangkap laku,senang
hadir saat butuh terima kasih polw,senang
hadir tengah masyarakat terima kasih polri,senang
manusia manusia terima kasih polri,senang
jiwa raga manusia terima kasih polri peduli,senang
terima kasih polri bagi buku ilmu,senang
terima kasih hadir tengah masyarakat,senang
bagi buku ilmu terima kasih polri,senang
terima kasih polisi hadir tengah masyarakat,senang
jarang layar kaca nyata lapang terima kasih polisi,senang
terima kasih kapolres masyarakat terima kasih bantun,senang
mantap langsung tahu terima kasih polisi,senang
polisi wajib kasih harga perhati,senang
jarang polisi terima kasih polri moga sejahtera,senang
alhamdulillah terima kasih polisi hukum berat beratmya mahluk kayak,marah
polisi goblok terima kasih,senang
terima kasih polisi hadap senyum laksana tugas,senang
terima kasih polisi ungkap benar,senang
terima kasih polisi relawan maksimal,senang
terima kasih polisi tegak adil,senang
terima kasih bantu polisi,senang
mantap polisi,senang
terima kasih polisi salut,senang
terima kasih polisi bantu evakuasi,senang
terima kasih dedikasi kontribusi polisi,senang
terima kasih polisi siaga bantu masyarakat mari waspada,senang
terima kasih polisi bantu warga,senang
terima kasih polisi juang jaga aman,senang
terima kasih polisi keras jaga batas laut,senang
terima kasih polisi himbau bagus,senang
terima kasih polisi keras selesai,senang
terima kasih polisi tindak,senang
profesional hormat,netral
tindak polisi didik masyarakat,netral
layan percaya masyarakat,netral
polisi jaga netralitas tugas,netral
tegak hukum adil bikin masyarakat percaya polisi,netral
moga polisi utama adil tindak,netral
polisi lindung rakyat,netral
kinerja polisi tentu aman masyarakat,netral
polisi milik tugas utama tegak hukum jaga tertib,netral
motor terima kasih polisi,senang
salut polisi tolong sopir truk kontainer pingsan,senang
kena terima kasih polisi,senang
terima kasih polisi hadir layan,senang
terima kasih polisi hadir layan abdi penuh hati,senang
terima kasih polisi keras ungkap,senang
terima kasih polisi cegah jahat moga depan jahat ungkap,senang
terima kasih polisi cegah jahat,senang
kinerja polisi bikin sedih banget,sedih
sedih kerja polisi,sedih
polisi bikin sedih,sedih
tidak habis pikir kinerja polisi sedih banget,sedih
kecewa kinerja polisi harap baik,sedih
kinerja polisi puas evaluasi,sedih
tegak hukum adil transparan,percaya
harap polisi profesional jalan tugas,percaya
percaya masyarakat polisi jaga tindak nyata,percaya
geram kinerja polisi kecewa,marah
polisi semrawut,marah
kinerja polisi frustrasi tanggung,marah
muak polisi tegak hukum standar ganda,marah
aparat tegak hukum polisi malu,marah
kecewa polisi tangan,sedih
putus ambil polisi sungguh kecewa cermin adil,sedih
sulit percaya polisi profesional,sedih
masyarakat khianat polisi lindung rugi,sedih
polisi abai adil penting masyarakat,marah
polisi ayom aman,percaya
sedih polisi lindung rakyat kecewa,sedih
miris hukum tegak adil polisi,sedih
hilang harap tangan serius,sedih
polisi harap rakyat kecewa,sedih
sungguh sedih rakyat takut lapor percaya polisi,sedih
kali biar kecewa,sedih
sakit oknum polisi salah guna wenang,sedih
adil urus polisi,sedih
harap polisi pihak rakyat,percaya
takut lapor polisi khawatir adil,takut
kali aman diam urus polisi,takut
lindung polisi timbul takut,takut
khawatir bicara keras salah,takut
tangan takut hukum negara,takut
kadang takut hukum pihak kuasa,takut
takut lawan tidakadil polisi bela salah,takut
tegang kali razia salah,takut
aman polisi cemas,takut
takut butuh bantu polisi peduli,takut
percaya polisi ubah,percaya
kritik polisi jujur,percaya
percaya masyarakat jaga harap polisi benah,percaya
percaya polisi hati nurani,percaya
polisi dukung,percaya
jujur integritas tegak niat polisi,percaya
polisi bukti jaga adil,percaya
polisi jujur dukung,percaya
percaya hukum jalan adil polisi komitmen,percaya
polisi peduli adil harap negeri,percaya
kecewa kinerja,sedih
takut lapor polisi takut sulit,takut
urus polisi kali bikin cemas,takut
lapor polisi takut sangka,takut
razia polisi bikin deg degan,takut
takut polisi bela uang,takut
kadang aman diam urus polisi,takut
takut hukum lindung rakyat,takut
kali rakyat takut suara polisi,takut
takut polisi pihak penting,takut
takut polisi tegak hukum,takut
aman polisi percaya,takut
takut adil beli uang,takut
polisi lindung bikin takut,takut
takut polisi salah guna kuasa,takut
harap polisi adil takut mimpi,takut
takut polisi hilang percaya rakyat,takut
takut lapor tindak adil,takut
hukum takut tegak,takut
kadang takut polisi jahat,takut
rakyat kecewa kinerja polisi,sedih
takut adil milik kuasa,takut
takut lapor polisi kali korban lindung layak,takut
orang ragu bantu polisi takut sulit anggap serius,takut
takut hadap polisi profesional salah guna wenang,takut
tegak adil rakyat takut sayang,takut
takut bicara kritis polisi,takut
aman aparat lindung tindak semena pena,takut
khawatir urus polisi hasil kali tebak,takut
takut berita orang cari adil tekan aparat,takut
takut korban tidakadil polisi peduli,takut
kadang pilih diam lapor polisi takut sulit curiga,takut
sulit percaya polisi penuh tindak suai hukum,sedih
takut alam hukum salah sistem pihak rakyat,takut
kali demonstrasi protes takut polisi tindak timbang hak rakyat,takut
tangan adil takut hukum negeri,takut
cemas oknum polisi tindak wenang wenang sanksi,takut
takut nyata adil beli polisi pihak,takut
rakyat aman lindung tindak kasar,takut
takut polisi percaya jaga adil,takut
khawatir polisi lindung penting masyarakat layan,takut
percaya polisi jujur,percaya
percaya rakyat jaga polisi,percaya
polisi adil dukung masyarakat,percaya
polisi benah,percaya
adil wujud polisi hati,percaya
percaya polisi keras,percaya
profesionalisme polisi kunci percaya rakyat,netral
polisi peduli rakyat,percaya
polisi bersih dukung penuh,percaya
percaya polisi tegak hukum adil,percaya
integritas polisi tentu hukum negeri,netral
jujur polisi harap masyarakat,percaya
percaya hukum tegak polisi tulus,percaya
polisi junjung benar rakyat dukung,percaya
polisi hati percaya,percaya
polisi juang adil,percaya
percaya masyarakat aset besar polisi,netral
percaya polisi contoh tegak hukum,percaya
polisi amanah hati rakyat,percaya
ubah positif polisi,percaya
percaya polisi jujur semangat benar kerja,percaya
kritik gue polisi tulus rakyat,percaya
polisi tertib mobil kacau jalan,percaya
moga polisi kuat tidak bawa arus negatif,percaya
gue percaya polisi kerja benar harga masyarakat,percaya
tidak polisi buruk benar adil,percaya
salut polisi benar adil,percaya
percaya deh polisi transparan rakyat respek,percaya
gue polisi pegang integritas semangat,percaya
polisi kerja hati percaya masyarakat,percaya
gimana tetap butuh polisi jujur,percaya
hormat polisi kerja benar gaya doang,percaya
polisi profesional aset negara moga kaya begini,percaya
percaya polisi jujur salah tetap kritik,percaya
gue polisi juang rakyat penting,percaya
polisi suai prosedur atur laku,netral
lapor masyarakat proses suai tentu hukum,netral
tugas polisi jalan tugas bidang lintas kriminalitas,netral
polisi milik wenang selidik,netral
anggota polisi ikut latih tugas,netral
masyarakat aju adu alam kait hukum,netral
polisi milik unit tangan beda,netral
tindak polisi suai undang laku,netral
gue polisi sayang kalah suara,percaya
polisi patroli rutin jaga aman wilayah,percaya
polisi jujur rakyat tidak ragu percaya,percaya
gue percaya polisi bukti emang serius jaga adil,percaya
percaya rakyat mahal tidak dapat kerja hati,percaya
gue percaya polisi profesional kerja penting pribadi,percaya
jujur aja polisi buruk sorot,percaya
semangat polisi kerja jujur moga kayak begini,percaya
polisi amanah adil hormat rakyat,percaya
gue percaya polisi berani lawan korupsi dalam,percaya
tidak polisi buruk benar kerja rakyat apresiasi,percaya
moga polisi benah biar percaya masyarakat,percaya
salut polisi jujur berani tegak hukum adil,percaya
polisi transparan profesional percaya masyarakat tingkat,percaya
percaya polisi kerja hati moga,percaya
hukum polisi jalan tugas integritas,percaya
percaya polisi jujur moga ubah positif,percaya
rakyat butuh pasti hukum janji manis ujung ujung zonk,marah
gimana rakyat percaya salah lindung ditekan,marah
tugas utama polisi lindung rakyat tindas sulit,marah
lapor proses suai prosedur,netral
polisi lembaga tegak hukum,netral
polisi tugas atur lintas lancar transportasi,netral
harap polisi ujung kecewa,sedih
polisi milik sistem lapor online mudah masyarakat,netral
daerah milik kantor polisi fungsi layan masyarakat,netral
anggota polisi dipindahtugaskan daerah suai bijak,netral
masyarakat akses informasi kinerja polisi lapor tahun,netral
polisi teknologi dukung proses investigasi,netral
kinerja buruk gaji naik kerja aja tidak becus,marah
gilir demo rakyat langsung tindak koruptor kawal santai,marah
tegak hukum jahat gimana rakyat percaya,marah
polisi tugas tilang jalan coba lihat jahat mata,marah
pamer prestasi media lapang abai,marah
kasih wenang lindung rakyat sari untung pribadi,marah
susah banget cari polisi kerja rakyat sibuk cari aman,marah
hukum miskin kaya mah bebas,marah
polisi tugas bikin aman bikin rakyat takut,marah
oknum benar,marah
hukum beli rakyat tinggal pasrah aja,marah
tidak sok wibawa pilih kasih tindak,marah
viral gercep tidak abai,marah
urus sim aja ribat isi pungli,marah
aman bayar rakyat janji palsu,marah
bukti udah mata alas proses selidik,marah
salah masyarakat tidak percaya liat kinerja,marah
rakyat protes bilang tidak hormat hukum gimana,marah
pakai ragam doang laku kaya preman jalan,marah
polisi kerja sih salah lindung,marah
citra bukti benar kerja,marah
jalan ruang sidang lempem,marah
dikit damai aja hukum negara kayak tawar tawar,marah
lapor hilang motor udah ikhlas aja serius,marah
tidak kamera sosial media tenggelam,marah
gaji pajak rakyat hancur percaya rakyat,marah
polisi lembaga tugas jaga tertib aman,netral
lapor masuk proses suai prosedur laku,netral
polisi milik unit tugas beda beda,netral
hukum tegak dasar atur tetap,netral
polisi milik wenang selidik periksa,netral
polisi koordinasi instansi kait,netral
awas kinerja polisi lembaga wenang,netral
tangan proses investigasi suai atur,netral
polisi milik peran aman giat masyarakat,netral
layan polisi cakup aspek administrasi hukum,netral
tugas polisi latih jalan tugas,netral
prosedur tangan acu hukum laku,netral
polisi peran atur lintas jaga lancar jalan,netral
polisi milik mekanisme adu masyarakat butuh,netral
jalan tugas polisi ikut standar operasional tentu,netral
lapor masyarakat salah sumber informasi polisi,netral
teknologi polisi bantu selidik,netral
polisi milik tugas jaga aman situasi,netral
laku kayak preman hormat gimana rakyat respek,marah
polisi lindung rakyat bikin susah,marah
hukum polisi tebang pilih,marah
adil uang rakyat tidak anggap,marah
bosan liat berita polisi korup benar,marah
susah banget cari polisi jujur kecewa banget,marah
polisi tidak becus kerja harap rakyat percaya,marah
rakyat butuh adil janji kosong polisi,marah
urus lapor aja ribat polisi kerja sih,marah
polisi sigap,marah
gaji pajak rakyat kerja,marah
korban polisi benar tindak,marah
garang rakyat gede tindak,marah
oknum benar diam kecewa berat,marah
tidak jujur polisi,marah
aman sih salah kuasa,marah
udah capek harap polisi begini aja,marah
dikit damai hukum,marah
kinerja buruk bangga tidak parah sih,marah
rakyat tidak butuh polisi citra butuh benar kerja,takut
polisi takut sih,takut
mata masyarakat polisi takut ayom,takut
takut polisi polisi momok yang takut motor,takut
ngeri banget polisi jaman takut,takut
jujur aja temu polisi jalan deg degan,takut
aman takut razia,takut
tidak salah takut urus polisi,takut
gimana tidak takut diputarbalikkan,takut
takut lapor gue kena,takut
udah bayar pajak gaji bikin rakyat takut,takut
takut banget jadi jalan lapor bingung percaya tidak,takut
layan publik jalan suai prosedur,netral
tugas tantang polisi,netral
jaga aman,netral
proses hukum jalan suai atur laku,netral
polisi peran tertib masyarakat,netral
lapor butuh proses,netral
harap sistem,netral
polisi manusia,netral
ubah sistem butuh tidak instan,netral
lembaga tantang,netral
tegak hukum baik,netral
profesi oknum jalan tugas,netral
masyarakat polisi dukung aman,netral
tingkat sulit beda beda,netral
tugas polisi tidak mudah profesional,netral
bijak pro kontra,netral
polisi wajib lindung masyarakat,netral
harap polisi kecewa,sedih
komunikasi masyarakat polisi,netral
kritik alas moga bahan evaluasi,netral
udah jadi aneh bikin tidak berani macem,takut
takut tuduh tidak laku,takut
atur takut tambah beban rakyat,takut
orang udah acara kena ancam,takut
takut viral proses tidak iya ilang aja,takut
ngeri urus polisi rumit,takut
jadi aneh tahan bikin was,takut
takut lapor isa damai tidak fear,takut
udah berat takut laku bebas,takut
lihat lampu strobo udah takut dulu,takut
takut razia kena aneh,takut
salah tangkap bikin aja kena,takut
jalan malam aja takut aman waspada,takut
takut tegak hukum main layar,takut
rekam jadi aja kena seram banget,takut
pasang kamera mobil takut cari,takut
lapor hilang kena biaya tambah takut lapor,takut
ngeri tilang tidak hak warga negara,takut
tidak bukti rekam takut jadi pelintir,takut
udah orang korban salah tangkap ngeri,takut
lihat berita seram rakyat kayak tidak lindung,takut
bukti kuat takut hilang aja,sedih
sedih banget hukum negara tidak adil,sedih
percaya polisi hilang kecewa banget,sedih
aman was temu polisi,sedih
capek harap ujung ujung hilang,sedih
polisi milik tugas utama jaga tertib masyarakat,netral
evaluasi kala kinerja aparat baik sistem,netral
koordinasi kait tingkat efektivitas tegak hukum,netral
suluh hukum masyarakat bantu cegah jahat,netral
teknologi manfaat tingkat efektivitas layan polisi,netral
institusi polisi adaptasi kembang zaman,netral
tegak hukum adil cipta tertib masyarakat,netral
layan publik maksimal harap warga polisi,netral
transparansi proses hukum tingkat percaya masyarakat,netral
polisi ikut prosedur tindak,netral
program tingkat kualitas sdm polisi bantu profesionalisme kerja,netral
respons cepat tangan lapor masyarakat,netral
koordinasi polisi masyarakat tingkat aman,netral
sistem adu masyarakat efektif mudah tangan,netral
polisi edukasi hukum masyarakat paham,netral
benah sistem internal dampak tingkat kinerja polisi,netral
tangan transparan akuntabel,netral
peran polisi jaga tertib dukung elemen masyarakat,netral
terima kasih polisi laksana aman,percaya
sedih lihat korban tidak adil,sedih
sulit percaya aparat,sedih
andai polisi rakyat ada,sedih
polisi harap rakyat adil,sedih
hukum main kuat menang lemah abai,sedih
lapor polisi anggap canda sakit banget,sedih
viral tindak,sedih
miris lihat korban kriminal juang,sedih
peran jaga tertib,netral
profesi tantang tanggung,netral
ruang baik sistem,netral
aman tanggung polisi,netral
evaluasi kinerja tingkat layan,netral
orang adil tegak,netral
prosedur hukum ikut suai atur laku,netral
polisi suai tugas fungsi,netral
orang hak layan polisi,netral
tertib masyarakat cipta,netral
reformasi institusi butuh proses,netral
teknologi bantu polisi tingkat kinerja,netral
komunikasi masyarakat polisi tingkat percaya,netral
langsung selesai singkat,netral
tegak hukum jalan suai prinsip adil,netral
lapor proses suai mekanisme,netral
sinergi polisi masyarakat,netral
aman nyaman masyarakat prioritas,netral
tugas utama polisi jaga tertib lindung warga,netral
kritik bangun bantu baik sistem,netral
urus polisi kayak main judi aman celaka,takut
takut tidak adil rakyat,takut
rekam jadi jalan takut tangkap,takut
tidak lapor kabur aja,takut
takut marah,takut
takut jadi suruh amai tidak benar,takut
dengar cerita seram polisi takut,takut
polisi lingkung tenang panik,takut
takut kena salah,takut
tidak berani komentar takut bumerang,takut
jadi aneh tahan bikin was banget,takut
tilang takut urus,takut
seram temu polisi muka galak,takut
lapor hilang takut suruh bayar,takut
lapor takut tidak proses,takut
operasi polisi jalan deg degan,takut
tidak percaya takut urus,takut
takut lihat berita polisi korupsi,takut
takut korban salah tangkap,takut
polisi patroli rasa tidak tenang,takut
hukum lindung takut,takut
takut atur berat rakyat,takut
lihat polisi obrol preman bingung percaya,takut
rahasia hilang motor lapor polisi hilang mobil biadab,marah
pecat oknum polisi,marah
seram polisi bawa senjata aman tegang,takut
jadi tidak masuk akal bikin takut,takut
tidak ngerti temu polisi main ancam,takut
takut orang salah paksa ngaku,takut
hilang seram banget sistem,takut
viral proses tidak iya biar bikin ngeri,takut
protes takut akibat,takut
takut tahu rekam jadi,takut
polisi milik peran jaga aman tertib,netral
layan cepat efisien tingkat percaya masyarakat,netral
lapor masuk proses suai prosedur hukum laku,netral
koordinasi polisi masyarakat cipta lingkung aman,netral
teknologi bantu tingkat efektivitas kinerja polisi layan publik,netral
sosialisasi atur hukum masyarakat cegah langgar,netral
evaluasi kala kinerja polisi tingkat profesionalisme,netral
suluh aman bantu tingkat sadar hukum masyarakat,netral
kuat sistem awas internal tingkat transparansi polisi,netral
layan publik optimal prioritas utama polisi,netral
tindak polisi suai kode etik standar prosedur laku,netral
polisi responsif bantu selesai hukum cepat,netral
kolaborasi instansi tingkat efektivitas tegak hukum,netral
transparansi proses tangan cegah muncul spekulasi negatif,netral
bina lanjut personel polisi jaga profesionalisme,netral
polisi jalan tugas independen intervensi,netral
lapor digital bantu masyarakat akses cepat layan polisi,netral
libat komunitas jaga aman bantu tugas polisi,netral
aman tertib jaga sinergi polisi masyarakat,netral
polisi milik tanggung jaga stabilitas sosial aman nasional,netral
tidak viral tidak urus gila,marah
lapor pingpong mengapa polisi,marah
lihat polisi tenang langsung emosi,marah
hukum negeri rakyat,marah
duit aman tidak korban,marah
kerja rakyat bos bos doang,marah
capek lihat drama hukum negara,marah
aja berita polisi masalah,marah
rakyat salah langsung tindak bebas,marah
udah rusak sistem tidak percaya,marah
bosan lihat sok benar kamera,marah
sebel banget gede ujung ujung hilang,marah
sih tidak malu ragam,marah
mending ajar arti adil,marah
korup bebas jujur sulit,marah
tidak uang koneksi harap adil,marah
keluarga tabrak lari kecewa lapor polisi direspon,sedih
kelar kerja keras polisi rakyat marah,marah
sok suci laku kayak preman,marah
tidak ubah aja,marah
ragam gaya gaya kerja benar,marah
hukum tajam tumpul udah muak dengar,marah
tidak sih kerja pakai hati nurani,marah
orang bayar pajak gaji kerja bikin rakyat sengsara,marah
rakyat anggap musuh,marah
kerja penting mending mundur aja,marah
kesel banget tangkap salah main gertak rakyat,marah
susah banget cari polisi jujur,marah
susah kerja benar sari untung pribadi,marah
sistem emang udah bobrok,marah
polisi lindung kriminal,marah
tidak malu sumpah jabat,marah
janji tinggal janji praktek nol,marah
tidak rakyat sok kuasa,marah
udah bosan dengar alas klasik,marah
gaji gede laku tidak bangga,marah
percaya,marah
udah tahu salah les jago atlet lari,marah
polisi rakyat juang,marah
benar bikin darah dengar,marah
jaga nama institusi bikin malu,marah
ragam simbol adil simbol takut,marah
tidak ubah aja bobrok,marah
rakyat udah muak main kayak,marah
serius kerja itu rakyat sari untung,marah
tidak kasih adil iya mundur aja sok kuasa,marah
sih alas suruh kerja benar tugas,marah
udah tau salah aja sok benar gimana rakyat percaya,marah
kerja sih dite,marah
heran rakyat hilang percaya laku bikin,marah
hukum negeri dagang bayar menang,marah
aja ilang jejak udah capek liat drama,marah
garang urus rakyat berani tidak lawan,marah
kali aja bikin darah,marah
rakyat salah langsung hukum oknum polisi salah lindung,marah
lapor hilang sulit kerja,marah
aneh orang kaya kena hukum lunak banget,marah
sok kerja rugi rakyat,marah
rakyat biar tunggu adil tidak,marah
kerja itu lindung rakyat tambah,marah
mentang seragam atur,marah
percaya hukum pasrah sistem udah rusak,marah
hukum ujung ujung beli duit,marah
bantu rakyat bikin ribat,marah
harap bikin takut,marah
lihat berita bikin hilang harap adil,marah
kecewa kinerja polisi lambat kembang,sedih
kecewa banget polisi,sedih
sumpah jabat formalitas doang bukti laku,marah
seragam bikin tenang bikin curiga,marah
ragam gaya gaya benar sistem hukum udah bobrok,marah
jago urus asih alas kerja benar tidak,marah
gede ujung ujung rakyat suruh abar tidak hasil,marah
buat salah kena hukum adil,marah
kasus libat jabat deh lambat proses,marah
sumpah heran banget gimana sih santai bikin rakyat sengsara,marah
rakyat lawan bilang langgar hukum langgar kasih sanksi ringan,marah
bilang reformasi bobrok,marah
lapor suruh amai aja polisi,marah
drama ilangnya barang bukti ersangka kabur,marah
susah percaya sistem hukum jalan aja tidak sikap adil,marah
hukum negeri duit,marah
tidak malu berita buruk polisi,marah
tugas sih laku tidak suai harap rakyat,marah
lihat ragam bikin marah bangga,marah
rakyat cari adil dite gila sih,marah
hormat kerja benar modal ragam,marah
gaji pajak rakyat rugi rakyat ironis banget,marah
tidak harap hukum aparat main,marah
dunia hukum kayak panggung sandiwara jago akting menang,marah
rakyat salah langsung adil salah proses kayak keong,marah
citra media rakyat butuh bukti nyata,marah
contoh buruk laku,marah
tidak kunjung selesai bukti sistem udah gagal total,marah
polisi jujur kasihan banget kerja sistem kayak begini,percaya
percaya polisi indonesia,percaya
polisi jujur,percaya
masyarakat percaya lindung,percaya
semangat polisi percaya lindung,percaya
marah banget lihat tidak kelar,marah
brengsek hukum negeri uang,marah
kesal lihat oknum bebas hukum,marah
jengkel kali lihat berita,marah
benci banget sistem adil,marah
muak janji palsu polisi bukti,marah
geram lihat salah lindung,marah
emosi kali polisi alas,marah
dendam polisi adil,marah
darah lihat laku polisi,marah
marah adil ilusi negeri,marah
brengsek rakyat korban,marah
kesal lihat hilang,marah
jengkel banget polisi diam,marah
benci banget tidakadil biar,marah
geram lihat dite,marah
kecewa polisi tetap sangka salah,sedih
lindung,percaya
emosi banget senyap,marah
dendam lihat polisi indak semena pena,marah
marah,marah
kesal lihat rakyat sulit,marah
brengsek hukum adil,marah
benci banget sistem hukum bobrok,marah
muak citra aksi nyata,marah
geram lihat aparat pikir,marah
emosi kali tuntas,marah
dendam tidakadil ulang,marah
marah lihat koruptor bebas santai,marah
kesal salah lindung,marah
senang banget lihat polw,senang
brengsek polisi korup rakyat sengsara,marah
kesal polisi abai jahat,marah
jengkel lihat polisi main keras,marah
muak lihat polisi hobi intimidasi rakyat,marah
emosi polisi salah guna senjata wenang,marah
